start	end	text
0	4840	El gobernador Axel Kicillof cerró el plenario de trabajadores en Moreno.
5140	10120	Acompañado por el ministro de Trabajo, Bona Herencia y con un fuerte apoyo del sindicalismo,
10380	13660	el gobernador Axel Kicillof cerró el plenario de las y los trabajadores
13660	16120	que se realizó en el predio de Satsay en Moreno.
16240	21240	En este marco, Kicillof se refirió a las elecciones que se celebrarán este año en la Argentina.
21380	25280	Lo que vamos a discutir en nuestra provincia hoy es de vital importancia,
25560	29720	porque se juega, después de cuatro años neoliberales, se juega cómo seguimos.
29720	33940	Y mi respuesta es que seguimos y para seguir no se puede caminar para atrás.
34060	36220	Tenemos que seguir caminando para adelante.
36460	42480	Y caminar para adelante es apostar en esta provincia a un Estado presente, a los derechos.
42740	48780	Y entonces la gran disjustiva de este año es si vamos a elegir la derecha o vamos a elegir los derechos.
49100	53940	Para ampliar los derechos necesitamos un país que acompañe
53940	58520	y ese país es el que presa Cristina Fernández de Kirchner.
58520	63800	Vamos a dar vuelta una elección en la provincia y en el país.
64020	68600	Desde la capital de la provincia de Buenos Aires informó Fernanda Germanier para Radio Nacional.
70400	74040	Murió el argentino atacado Machetazos en una playa de México.
74780	77580	Benjamín Gamón, de 23 años y oriundo de Córdoba,
77880	80900	falleció esta tarde en el Hospital General de la capital mexicana,
81160	84320	donde había sido trasladado ayer en un avión sanitario.
84320	88800	El joven murió como consecuencia de una herida recibida en el cráneo.
89160	92140	Benjamín Gamón, Santiago Lastre y Macarena González
92140	95540	fueron atacados con un machete por la espalda por un joven
95540	100060	por motivos desconocidos en una playa del Estado mexicano de Oaxaca.
100240	103760	Mientras Gamón sufrió la grave herida en el cráneo que le provocó la muerte,
104200	109460	los otros dos argentinos recibieron lesiones en los brazos y en las manos y están fuera de peligro.
109460	110880	El tiempo.
111380	114840	En Puerto Argentino, Islas Malvinas, la temperatura es de 8 grados,
115120	117740	83% la humedad y el cielo está algo nublado.
118200	121680	En la ciudad de Buenos Aires, 19 grados tres décimas la temperatura,
122260	125300	71% la humedad y el cielo está despejado.
125940	128380	Nueve, tres, públicas.
130100	134060	Noventa y tres, siete, seso del rock.
137120	138960	Lunes de veinte a veintiuna.
139460	140240	Escucha.
142440	143220	Mada.
143440	144520	Toma Reborn.
144980	146220	In Nacional Rock.
147420	148060	Mada.
149240	149640	Mente.
149640	150500	Mente musical.
150640	151220	Musicalmente.
151440	152960	Treinta segundos de.
153600	158640	Hoy no voy a salir, voy a quedarme en la nube donde nadie sube.
159040	165540	Y no tengo planeado morirme de sangrado y no.
166060	170900	Ya no sé muy bien lo que me pasa, encontré la llave y me olvidé donde es mi casa.
171140	176260	Me está tornando raro seguir en caída y verme tramando el salto, cortando el paracaídas.
176900	181940	Tengo un coche y un cochón, tengo amigos un montón, tengo vino y un melón.
181940	185000	Que se mejore y si no nadie se.
185000	186200	Mente musical.
186360	187480	Treinta segundos.
187780	188680	Que se mejore.
188900	189780	In Nacional Rock.
192520	193000	Mañana.
193380	194260	Siempre.
194440	195320	Mañana siempre.
195960	196460	Es mejor.
197920	198800	Deseo.
198980	199820	Goce.
201300	202200	En movimiento.
203140	203140	
203620	209460	Quien es que el don de la fe.
211080	213560	Mejor lo vuelve.
224660	228000	En el caos.
228180	229200	Bailar.
230660	230940	Habitarlo.
232820	234380	Y bailar.
237540	238740	Y bailar.
240740	241460	Nacional Rock.
242240	243820	93.7
243820	244360	Redes.
244540	244840	Arroba.
245320	245800	Nacional Rock.
247180	247860	937.
254220	255740	La pelota lo...
255740	257820	La pelota lo se marcha.
258500	259600	Carajo de mierda.
260040	261200	Carajo de mierda.
261620	265200	Se van a remontar a la extrantera.
265640	267240	Usted tiene que arrepentirse de lo que dijo.
267400	267960	No, no me voy a arrepentirse.
267960	269000	Usted tiene que arrepentirse.
269120	270040	Porque yo no hice nada de eso.
270100	271260	Ay, si queréis llorar, llora.
271340	272180	Papi, papi, por favor.
272340	273140	No, no, no.
273700	274140	Bailar.
276500	278140	Sin disputar, hermano.
278600	280220	Solamente que temble temor a Dios.
