start	end	text
2900	21080	Cómo, cómo, cómo, cómo, cómo andan, compatriotas, cómo están, repapaels, estoy tratando de poner el chat en una ventana emergente, cómo están todo este tiempo, viva la patria carajo, vaca bordiza acá, la pelota no dobla, murió Menem,
21080	51060	los comentarios de siempre a la hora de arrancar el chat de MAGA, el mejor programa, programa de ponderación metafísica de la República Argentina, el único quizás, no lo sé, pero el mejor sin dudas, podrán imitarnos pero igualarnos jamás, lo decía hace poco, van a pasar milenios hasta que alguien pueda hacer algo como este programa, ustedes no sean cuenta, porque ya lo tienen naturalizado, entonces dicen ah MAGA, un programa más, pero saben lo difícil que es hacer esto, miren cualquier otro programa, pónganle aire en un micrófono y díganle habla, la gente dice, oh, pero
51060	81040	qué puedo decir, hay tanto espacio, no sé qué hacer con el espacio, viste como cuando jugabas de golpe en cancha de once, yo siempre fui malo jugando al fútbol, pero jugaba mucho mejor en espacios reducidos, canchita de cinco, capaz no hay lateral, no se va nunca, entonces vos te pegás a la pared y arrastras el pie con la pelota en la pared y te va llevando todo opuesto, hasta que más o menos llegas al arco, un día te invitan a jugar a cancha de once y de repente decís, ¿qué es esto?, ¿qué hago con todo este espacio?, ¿o frenas la pelota?
81040	109640	y el otro que viene está allá, a kilómetros, y la pelota si te rebota tenés espacio para correr para adelante, y de repente decís, no sé qué hacer con todo esto, eso es un poquito de fútbol, pero solo por lujo, porque puedo, once, treinta y nueve, treinta y nueve, ochenta y ocho, ochenta y ocho, ¿cómo están?, repapa el dos, Simón de FP dice, hola a todos, se va saludando la gente y mientras van llegando dedicamos la primera ronda de aplausos de la jornada,
109640	139620	cuanta gente hay, Juanmi mirando, tenés ahí, dos luquitas, dos lucardelis, está muy bien, lindo encuentro como siempre, lunes acá, veinte horas, tengo algunos anuncios para hacer, hoy tenés un aire a Facundo Cabral, sí puede ser, hoy estaba ponderando, hoy estaba ponderando qué hacer con mi barba, es algo que creo que se puede hablar acá, porque vieron así como está la peak male performance,
139620	169600	body existe de male urge to no afeitarse, ubican esto, todo hombre que le queres el pelo en la cara tiene cada tanto un ciclo que son como, está coordinado con la luna, es como nuestra propia menstruación al respecto de si queremos o no dejarnos la barba, ustedes saben que esto es real, yo cuando era adolescente, cuando era pequeñito, cuando era un little agobero, a mi me decían que no iba a tener barba, porque mi viejo no tiene barba, mi viejo es bastante lampiño, de hecho mi viejo
169600	199580	no tiene pelo en la cabeza, es un gran momento para empezar a corroborar que yo debo ser igual a un sodero, en este momento va a haber un sodero en su casa diciendo máxima ciencia, pa, mínima cuota alimentaria, algún tipo idéntico a mi en su casa, y yo crecí con gente diciéndome, yo quería tener barba, yo era pequeño y quería tener barba, y me decían no vas a tener barba, y yo decía si, si creo voy a producir mi propia
199580	222420	barba, y mira lo que es mi poderosa y masculina barba en este momento, entonces a mi me pasa muchas veces que quiero usarla, quiero dejarme, quiero dejarme esa barba, porque siento que hay algo ahí, quizás creo que está asociado a escribir, quizás creo que mi libro necesita de mi barba, quizás es una relación simbiótica, quizás se relacionan, me dicen que hay un audio ya agobero y pasamos y saludamos.
223060	245820	Remor, vi tu tuit sobre tu barba y para mí es muy claro que cada día estás más parecido a James Harden, los dos miden más de 1,90, los dos están quedando pelados, los dos tienen unos kilos de más, los dos han usado una remera de Filadelfia, así que me parece que el último paso para profundizar es que el próximo Magas salgas haciendo blackface.
250660	275800	Excelente, excelente, eso acá no jodería en Argentina, pero en Estados Unidos se pondrían todos como loquitas francamente, lo voy a considerar, quizás haya algo ahí, así como dicen que Jimmy Butler es hijo de Michael Jordan, gran teoría conspirativa de la deep web norteamericana, quizás yo tenga algo que ver con Harden, con The Barba, el Barba Reborn, Jason Momoa Board, ojala, sexiest men alive, sexiest men alive,
277140	300320	Jason Momoa, eso es interesante, viste, a veces cuando... es interesante, porque vieron que hay estereotipos de belleza acá tanto, últimamente el estereotipo de belleza masculina es medio twink, es medio Timothy Chamamé, vieron, es medio como, siempre me acuerdo de un tuit de Uro cuando hablé de esto que decía, en el futuro los hombres más sexys serán mujeres.
300320	323100	Como que hay muchas minas que les encantan, como esos hombres así, esos exotics, y Jason Momoa es como todo lo contrario, es una suerte de mamut de masculinidad básicamente, y a mí eso es interesante eso, eso es interesante también a nivel charla de parejas, alguna vez discuten con sus parejas al respecto del tipo de personas que les gustan, ¿no?
324400	351320	Cualquier persona que esté en pareja hace mucho tiempo ha discutido de tipos, tipos de personas, no me jodan, no me jodan, de hecho, de hecho, todos tenemos tipos, yo de hecho siento que soy más coherente con mis tipos, mis tipos es un tipo específico, el tema es cuando a tu pareja le gusta alguien que no tiene nada que ver con vos, cuando de repente vos estás así, y si subo de repente, pasa esto, estamos viendo una serie, aparece un colorado, un tipo con el pelo rojo, flanco, blanco y colorado, y dice, ¡ay, qué lindo!
351960	377520	Y yo digo, ¿cómo dice, qué dice, enana? ¿Cómo, cómo es eso? O sea, ¿qué estaría sucediendo ahí? Porque si le gusta, gordo, pelado, yo diría, zap, ¿entendés? La verdad es que su belleza es evidente, ¿entendés? Y estaría bien, y tiene sentido, y es cohesivo, y creo que hay que ser respetuoso de eso en esos términos, ¿viste?
379100	405600	Yo tengo un tipo que a mí, que traigan un colorado, es como que a mí me traigan una rubia, flaca, a mí, viste, no, no, not my type, siento que eso es más de mujeres, a las mujeres les gustan más las minas flacas, me voy a bajar de este tema, me voy a bajar de este tema porque solo me va a traer quilombo, solo me va a traer bardo en todos los sentidos posibles,
405600	424600	así que les doy la bienvenida, les doy la bienvenida, les doy la bienvenida al maga del día de la fecha, voy a hacer primero, primero, te cagas con un colorado, dice acá Nicomete, puede ser HA, hay algo ahí, voy a hacer primero unos anuncios,
424640	444940	anuncios número uno, diré cosas en Rosario, repito, diré cosas en Rosario, mañana anunciaré cuándo y dónde, y digo dónde están las entradas, diré cosas en Rosario, ¿sí?
444940	462560	me siguen hasta ahí, diré cosas en Rosario, mañana, después fíjense, viste, porque la última vez agotamos en 12 horas, así que vamos a ver, vamos a ver qué sucede con respecto a Rosario, pero diré cosas en Rosario, ese es el anuncio uno, mañana digo cuándo, cómo, dónde.
463740	486920	Anuncio dos, estoy muy agotado de mis verdades, así que voy a meter un Insane As Previaje, no se enojen conmigo, si yo fui ágil para previajar y ustedes se durmieron y no aprovecharon las oportunidades fiscales del Estado Argentino, porque estaba a disposición de todos, así que voy a meter un Insane As Previaje,
486920	515720	unos días, no voy a ir al destapa esta semana, no voy a hacer par en la mano, les voy a dejar un método para que lo vean, así que, vean, estoy negociando, no es tan terrible, van a tener un método, van a tener un método, sí, voy a tener un pequeño previaje y me invitaron a ver un partido de la Sub-20, eso también es algo que quería contar, me invitaron a ver un partido de la Sub-20, me invitaron a ponderar el estado metafísico de la Sub-20, a que vea, a que analice, a que vea cómo están las cosas en la Sub-20,
