start	end	text
3440	10220	¡Abren esos micrófonos! Empieza a llegar la gente, se empieza a contornear al ritmo
10220	17200	de la música sin copyright. Pueden bailar y es libre. Pueden bailar y nadie monetiza
17200	23440	esto más allá de maga. Nada como bailar y que no se aproveche de eso alguna gran firma
23440	28760	internacional de contenidos. Eso es lo que a la gente le hace sentir feliz. Eso es lo
28760	32960	que hace que el mundo tenga sentido. Muchas gracias por estar acá en esta transmisión
32960	38260	desde el penal de Ezeiza. Ya saben cómo estamos bajo condiciones. Maga es fácil de hacer
38260	42380	de la cárcel. Vieron el programa ese de Carrascoza que hacía en su momento. No sería un problema.
42560	48080	No sería un problema ser maga en prisión. Quizás hasta tendría cierta mística. Están
48080	58740	viendo el sumeo que crea... ¡Uy! ¡Creerán! Eso es lo que quise decir. Me costó más
59580	64800	Alguien que The Jungleman ha traído. Permite darles un poco de contexto. The Jungleman cayó
64800	70660	encapuchado con un barbijo como si estuviera completamente radioactivo. O sea, como tuberculosis
70660	74840	mal. Lo cual es medio border, viste? Porque en algún punto decís, wow, Jungleman, te
74840	81300	la rejugaste viniendo. Y por otro lado decís, che loco, ¿sos un riesgo bacteriológico para
81300	86400	todos nosotros? O sea, querés dejar todo... ¿Quién gana en esto, Jungleman? ¿Es tu sacrificio
86400	90680	o sos una suerte de caballo de troya para que todos mueran? No se sabe. Pero Jungleman
90680	96060	vino todo encapuchado. Les quiero sacar una foto. Y dijo, vine, me siento muy mal. ¡Oh!
96380	100540	Todo al mismo tiempo. Pero está todo bien porque está el loco Santi. Perfecto, listo.
100600	105060	Jungleman no pasa nada. Pero él no se resiste a no venir a maga. Para mí Jungleman ama
105060	109440	maga. Lo vuelve loco. De hecho, está acá ahora. Está acá monitoreando los subs.
109440	117020	¡No te vayas, Jungleman! Se va, se va, se va, se va, se va, se va. Se sintió ofendido,
117080	121800	se sintió ofendido. Yo creo que él, él quiso curar los subs, quiso dejarnos en las manos
121800	129080	del loco Santi que... Junglefever dicen acá, claro. Tiene la Junglefever. Gracias Jungleman
129080	135160	por dejar todo. Gracias como siempre a nuestro equipo de trabajo. Me han informado que este
135160	140480	es el maga número 100. Me lo han informado. Yo, por supuesto, no lo he chequeado. Porque
140480	145840	en general no chequeo, ustedes saben, nada. Entonces, cuando me dijeron es el maga número
145840	150400	100, yo dije, sape. Vamos a darle a fondo y será el maga número 100. Lo cual de mínima
150400	156800	nos trae algunas reflexiones. Es muy loco haber hecho esto 100 veces, ¿no? Es muy loco.
157180	160440	Me interesa saber también qué piensan de eso. ¿Qué es maga para ustedes? Más cuando
160440	169800	estamos bajo ataque porque maga resiste. Hashtag maga resiste. 11 39 39 88 88. Maga resiste.
169960	176740	Y no es casual que este ataque de todos, todos los organismos del estado juntos contra maga
176740	182300	sea en su programa número 100. Un poco quieren silenciar las verdades. Un poco quieren silenciar
182300	188140	el más importante y sagrado derecho de expresión a un programa falopa de YouTube, ¿no? Sin
188140	192220	un programa falopa de YouTube no puede expresarse qué queda para el resto de la democracia
