start	end	text
18860	21720	¿Cómo están? ¿Cómo están?
22120	26100	Estabamos estirando una pequeña superposición de sonido, quizás.
26120	27500	¡Easy! ¡Easy!
27500	33800	Fíjate lo que son esas músicas sin copyright, mirad lo que son estos movimientos, solo alguien con este flow podría...
33800	36780	Mirá lo que... Y sí, ya te das cuenta quién está en la casa, ¿no?
36920	44760	¿Quién está en la casa? The Jungle Man, el hombre de la jungla, Juan B. Selva, The Jungle Man, está...
44760	55980	Mirá, mirá cómo se trae transiciones, el hombre selvático, The Jungle Man, cómo andan ese comienzo conceptual, dice acá.
55980	59840	¿Cómo están, estimadísimos compatriotas? ¿Cómo andan?
60080	68260	A ver, me voy a fijar acá, in the chat, in the live chat, guachos, somos 2.000 personas, que cada vez hay más gente en MAGA, no sé si...
68260	77240	Es un síntoma del final, ¿no? O sea, que cada vez haya más gente realmente en un programa que objetivamente les ofrece cada vez menos, habla de cómo estamos como sociedad, ¿no?
77820	84800	Pero está bien, está bien porque estamos acompañando los últimos magas, cada uno de los magas que hacemos puede ser el último, ¿sabían?
85240	92640	Esas transiciones de Gativideo, dice acá, Iván Trinchieri, ¿cómo andan compatriots? ¿Cómo andan agoveros y agoveras?
92920	103020	Les doy la bienvenida a este lunes de MAGA, yo estoy... a mí me duele la cabeza, estoy cansado, estoy un poco molesto, ese es mi mood, estoy un poco fastidioso,
103380	107120	así que espero que después de este MAGA esté mejor, ¿sí? esté más arriba.
107780	109840	¿Saben qué es lo que me está pasando? Yo ya sé lo que me está pasando.
110940	123500	Estoy... estoy laburando un poco más de lo que me gustaría estar laburando, esa es la verdad, y no tengo nada de vergüenza en decirlo, nada de vergüenza en decirlo.
123740	135020	Hace varias semanas que estamos grabando dos métodos por semana, es un montón, es un montón, porque fíjense que cada método requiere un grado de concentración espiritual de mi parte,
135020	146220	de absorber todo de otra persona, que desnude su alma, y a la vez mantener todo el resto de formatos, ir a MAGA, ir al destape, ir a Par en la Mano,
146780	155400	la verdad que estoy laburando como loquita, loco, y a mí me pasa, esto ni si... no es por... los refutadores de leyendas dirán, gordo vago, ¿no?
156180	166460	Dirán vago, Bord, dirán estás viejo, dirán... Mirá, mirá, mirá, ya estaban acá en el chat y yo ni los había leído, ño, keyboard, ya los conozco, manga de hijos de Remilputa,
166620	176880	ya los conozco, pero ¿saben qué? ustedes mienten, no es verdad lo que dicen, porque hacer lo que hago yo es muy difícil, y para yo, esto es así, el contenido de MAGA es como una buena novela.
177660	190440	Lo que vos ves en la pirámide de lo MAGA es la cúspide del contenido, lo visible, pero para que eso sea máxima ciencia, hay un trabajo de raíces profundas de la ciencia y la verdad, que requiere mucha contemplación.
190820	202100	Yo soy una persona que me gusta ponderar verdades, yo necesito, para elaborar la ciencia y verdad, tener amplios tiempos de ponderación, y estoy sin tiempos de ponderación.
202100	216760	Estoy paja Bord, estoy, no estoy pudiendo, no estoy pudiendo hacerme una buena pajola loca, no estoy pudiendo, no tengo tiempo para mi página, y eso es un derecho humano, loco, y yo lo único que pido es eso, algo que todos ustedes tienen,
