start	end	text
0	4120	86% de la humedad y el cielo está cubierto con llovizna.
4280	7140	En la ciudad de Buenos Aires, 18 grados la temperatura,
7580	10540	80% de la humedad y el cielo está algo nublado.
30840	39320	Tengo un ambiente en capital, hago mis canciones, fumo más y no me importa.
40100	47360	He intentado mantenerte al mar, generando círculos perfectos.
47800	51860	Quiero tener sinónimos para este amor.
51860	53060	Siempre
53060	55180	Bailemos
55180	56860	Un boss
57520	58980	Te desvamos
58980	60520	Mente musical
60520	62140	Despelación al rock
99760	111000	Despelación al rock
129760	141000	Despelación al rock
159760	171000	Despelación al rock
171860	177300	Despelación al rock
177300	179440	Despelación al rock
179440	181720	Despelación al rock
181720	182400	Mente musical
182400	183780	Vaga
183780	184580	Lunes
184580	185820	Hasta las 21
185820	188080	Por Nacionaal Rock
190180	191560	Mente musical
191560	191740	Despelación al rock
200400	201780	Mente musical
201860	205940	se van a remontar a la distratófera
205940	207620	Usted tiene que arrepentirse de lo que dijo
208160	210440	Usted tiene que arrepentirse, porque yo no hice nada de eso
210440	212600	Ay, si querés llorar, llora papi, papi, por favor
217980	218860	Sinirputable, hermano
218860	220620	Solamente que tenga temor a Dios
220620	223280	Y a mí en todo caso también un poquito
223280	224860	Pará, pará, pará, pará
225460	227540	Con 15 pesos me hago alto guiso
237280	238960	Perfecto, perfecto
239860	241860	Mirá lo que son estas transiciones, mirá
242620	244080	Mirá lo que hace The Jungle Man
244080	246140	Ay, mirá, oooh
246140	248740	Como, como andan
248740	249860	Como andan Pupishps
251060	252860	Como andan Repapaeldos
254060	256180	Como andan Papaerlaps
256180	257860	Como andan Papaordiceps
259280	261660	Papasuolios, papasuolios, también
261860	268140	como andan papasuelos ya están sintiendo un poco la música sin copyright
268140	274660	están empezando a fluir están viendo los zooms del jungle men están tirando
274660	280360	unos unos moves en sus casas antes de aplaudir tienen unos moves tienen unos
280360	284340	moves tienen unos moves en su casa que tal
284340	293040	copyless copyrightless como dice juan ma como están como andan we are good como
293040	300440	andan como andan papa ordi seps como están como están bien bien bien bien
300440	307100	están arrancando la semana con toda pongan like manga de crotobots dice
307100	311520	gonzalo bitelli me parece bien cristina presidenta dice cachivache uno que está
311520	318340	tema como andan estimadísimos hay que decir que pasó pasó alguien alguien
318340	324540	tiró sus rebordolares para dejar un mensaje pasó volando y ya fluyó perdido
324540	328440	para siempre como lágrimas en la lluvia pensé que hay gente pagando el chat
328440	333400	está tan como loquita que no puedo llegar a leer absolutamente nada para el
333400	340740	orto pero pisteando don dice piroma niaco cuidado con ese user si amigo si
340740	345600	necesitas ayuda maga no es el lugar pero te recomendaría a mesura como andan
345600	353160	queridísimos compatriotas 11 39 39 88 88 estamos
354460	363220	francisco dolce melo mi primer vivo bienvenido javier r gordo sabroso
363940	371280	como andan te esperamos en bahía blanca se me dicen acá voy a decir voy a decir
371280	376260	unos factos papa el dos papa de colapios papa ordi se pasa por algo dale si ya hay
376260	382140	pasa por algo dale dale que el lunes hay maga la concha de la lora dale señor si
382140	389140	señor la gente que estoy es que se ofrece la gente solo solo tenía
389140	392860	patologías en realidad era un gran rejunte de personas al borde de sus
392860	402460	respectivas existencias 11 39 39 88 88 como andan mis queridos papa ordi seps
403020	406300	vota a puto de masa me dicen acá en el chat
412540	419580	vota a puto de masa vota a puto de masa vas a votar a puto de masa bienvenidos y
423280	429720	no me interesa ni un solo ángulo racional de la campaña no me interesa ni un solo
429720	438440	ángulo racional quiero irracionalidad política lo único que quiero lo único
438440	443640	que quiero es emociones feelings pasame pasame audio pasame audio la una de
443640	448580	ustedes vengo de anotarme el gimnasio porque ve tu historia pelado y pelado
448580	455140	con pelo pelado con pelo eso con respeto hijos de putas ve a puto gimnasio
455860	462020	ve a puto gimnasio ve a puto gimnasio la cantidad de gente con esas dos
462020	465580	historias de verga que subí ahora entiendo por qué papa suelio tiene dos
465580	471600	perfiles de 40 millones de seguidores o sea la interacción que genera solo esa
471600	476020	verga o sea otro que mr. droopy lo soludo al final uno se rompe la cabeza
476020	480380	pensando contenido arte línea interpretación del momento histórico y
480380	486460	la gente lo único que quiere es vota a puto de masa vota a puto de masa es o sea
486460	491140	no realmente o sea fueron dos historias de verga que ni siquiera son propias son
491140	496000	imitando otra persona y la gente me dijo que esto es excelente
496000	501540	che esto que hiciste realmente o sea yo pensaba que eras un tarado reward yo
501540	505360	pensaba que no tenías nada pero evidentemente si podés hacer esto
505360	511620	boludo sos muy talentoso yo solo estoy imitando un gringo que manda la gente
511620	515700	al gimnasio es lo único que hace pero claro papas suelio debe haber empezado así
515700	521340	una vez papas suelio un día subió una gente dijo wow hay algo ahí como todo en
521340	525600	la vida hay algo ahí y dijo bueno ya pues lo subo en reel a ver qué pasa y otro y
525600	530120	otro y otro y otro es todo la gente la gente sólo quiere eso la gente quiere
530120	538160	droopy loops tengo tengo algunas cosas para para comentarles podemos arrancar
538160	545280	por eso tengo para decirles ya lo saben el viernes el jueves es mi cumpleaños
545280	550340	el jueves es mi cumpleaños el viernes habrá un teatro en mi honor en honor a
550340	554100	mi cumpleaños para analizaremos después que significa eso no que
554100	558520	significa que uno sea su cumpleaños y se junta gente en un teatro a verlo que
558520	562600	significa eso así que la gente de capital federal que agotó las entradas
562600	566840	en un instante va a poder venir celebrar junto a mí en mi cumpleaños a una
566840	571460	distancia prudencial me preguntan también me preguntaron si llevan
572360	576880	regalos pueden por supuesto que pueden pueden pueden llevar regalos si no
576880	581980	máximo dice ojo no están prohibidos regalos malos si es una cosa están
581980	586120	prohibidos es una a lo que quería aclarar porque hay personas que capaz
586120	592340	regalos malos no esos tan previos ah ah y revor puta madre yo te quería llevar
592340	595740	un coche bomba no no se puede no se puede pero por sólo porque está
595740	600620	prohibido si no lo hubiera aclarado quizás era algo que traía confusión si
600620	605400	si quieren llevar ofrendas pueden hacerlo pueden llevar me lo imagino como
605400	609740	imaginen lleven las ofrendas y pueden depositarlas ahí mismo sobre el
609740	615360	escenario creo que puede ser interesante pueden dejar también sus regalos acá en
615360	618540	nacional rock es un lugar al que me pueden mandar cosas mucha gente me ha
618540	622240	mandado libros acá me han mandado regalitos hay gente que realmente me
