start	end	text
7440	14820	¡Uy! ¡Uy! ¡Escuchate esos ritmos sin copyright! ¡Escuchatelos! ¡Mirá que bien que están!
15320	20040	¡Tirame! Estamos con el loco Santi. Está el Jungleman monitoreando la transmisión.
20720	26420	Yo te voy a decir, Santi, loco Santi, tirale con todo. Quiero todo. Quiero todo lo que tengas.
26420	31920	¡Tirame todo! ¡Tirame todo loco, Santi! ¡Tiráselo así! En la cara al Jungleman.
32820	37160	¡Tiráselo mientras está mirando! Dile ¡Mirá Jungleman! ¡Mirá lo que hace tu discípulo! ¡Mirá!
38220	41080	¡Mirá lo que hacen estas transiciones! ¡Mirá lo que es esta música sin copyright!
41480	45500	¡Mirá cómo están los agoveros! ¿Qué pasa, loco? ¡Qué pasa que son tan pocos!
46320	51120	¿Qué pasa? ¿Qué son 1000 personas, manga de hijos de puta? ¿Qué pasa que son tan pocos?
51400	54700	¿Qué están acaso mirando Boca? ¿Qué esperan de ese partido? ¿Qué esperan de ver a Boca?
54700	56980	¡Fútbol! ¡Claramente! ¡Fútbol no hay!
57400	58280	¿Por qué no lo ven acá?
58460	60280	¿Por qué no se juntan acá entre agoberos y agoberas
60280	61920	y vemos que anda pasando mientras tanto, eh?
62400	64240	Ciao, Jungleman, nos vemos. Gracias por todo.
64740	66280	Bienvenidos y bienvenidas
66280	68540	a este MAGA como todos los lunes.
68640	70660	Bienvenidos y bienvenidas otra vez
70660	72280	al espacio donde ponderamos
72280	74240	la realidad de nuestro presente.
74320	76480	Vemos qué está pasando. Estoy acá con
76480	78380	una molestia en un oído, por eso me puse
78380	80300	los auriculares de forma heterodoxa.
80400	82700	Habrán notado. También es como
82780	84500	estoy de pelo, eh. Estoy raro de pelo.
85000	86660	Porque desde que Medical Hair
86660	88360	decidió que yo tuviera pelo
88360	90340	claro, me olvidé que el pelo
90340	92840	tengo como un extraño peluconcio ahora, ¿no?
93360	94780	Hay un... hay como una...
95820	96940	hay como una situación
96940	98840	medio como que ¡plop! está ahí un
98840	101000	peluconcio extraño con el que todavía no me adapto.
101180	102580	Me olvidé de lo que era tener pelo, me olvidé.
102660	104400	Entonces ahora hay conceptos como
104400	106900	estar despeinado, que yo digo
106900	108780	¡Ah! ¿Qué? ¿Puede salir de
108780	110960	formas extrañas? No lo tengo todavía
110960	112980	todavía no me hallo.
113000	115060	No me hallo. ¿Viste como dicen las señoras
115060	116980	conchetas cuando algo no les cierra?
117340	118640	¡No me hallo!
120260	121300	Estimadísimos papaeldos
121300	122920	sacate el pelo, papis
122920	125320	de embasis C, papis
125320	127100	Escobilla Rebord, Peluca Bord
127100	128980	Pelazo, El Hoppinson Crusoe
128980	131080	¿Cómo andan? Te estaba escuchando en la
131080	133360	radio, dice Mariana Sallago, perfecto.
133440	135100	A veces que uno se olvida que seguimos
135100	136880	en radio también. Salimos por FM
136880	139240	en todo el reputo territorio nacional.
140000	141600	Rogge Ramenagui dice
142460	142980	Semen.
143380	145300	Bueno, suerte para vos también Rogge
145300	147440	que encuentres lo que sea que estás buscando.
147880	149320	11-39-39
149320	150560	88-88.
150920	153240	Si tienen aportes al estilo
153240	155080	Semen como Rogge y lo quieren hacer,
155160	157240	pues manden uno de acá como siempre y los escuchamos como ahora.
157400	159240	A ver, hola, goberos. Estamos acá con mi
159240	161180	amigo, yo picando un salamín,
161420	163000	un quesito, mi amigo haciendo
163000	163880	un guiso acá.
164660	166240	¡Lune de maga!
167260	168080	¡Aguante masa!
171140	172200	¡Ay, boludo!
172900	174360	¿Cómo me gustaría estar picando
174360	176600	un salamito con un quesito, boludo?
176640	178700	Ese audio, mi amigo, pingue, pingue, pingue.
178860	180320	Lunes de maga. Quiero que el lunes de
180320	182260	maga sea eso también para mí. Capaz tengo que
182260	184440	arrancar los programas con unos salamingos
184440	186180	y un quesito y arrancándolos
186180	187980	así. ¿Cómo andan, agoberos?
188000	190240	Agobera, lunes de maga, salamingo, picadingo.
191720	192860	¡Qué lindo, qué lindo!
193240	194400	Felicitaciones, saludos. Allá
194400	196380	aparece ese rejunte agobero que
196380	198260	se armaron y disfrutaron. Qué linda tradición,
198260	200260	¿no? Juntarse a escuchar maga con
200260	202240	unos salamingos. Yo, como saben,
202280	204580	tuve unos días al menos
205080	206640	movidos. Voy a pasar
206640	208260	a confirmarles. Quiero agradecer a los agueras
208260	210120	agueras que vinieron el viernes pasado
210120	212440	al festejo de mi onomástico, el día
212440	214560	de mi nombre, con quienes bailé
214560	216280	en tangado. Hay un problema con eso,
216380	218480	que es que, claro, ahora inmediatamente
218480	220300	apenas salí en culo a bailar
220300	222280	porque lo sentí, porque ese era mi verdadero
222280	224900	corazón. ¿Cuántas vueltas
224900	226240	no para solo tener una gran
226240	227940	excusa elaborada para salir emplumado?
228080	230380	Es como chabón sobre la trolo, ¿viste?
230440	232300	O sea, lo podía hacer en su casa
232300	234200	también. Podía en su casa ponerse un conchero
234200	236280	en plumas y listo, no hacía falta hacer que
236280	238540	todos participen de ese delirio colectivo.
238680	240340	Pero les agradezco que me lo hayan permitido,
240360	241460	que me lo hayan regalado.
242180	244180	Por supuesto, al instante que lo hice, me empezaron a decir
244180	245560	ché, ahora haces eso, ¿no?
246180	248100	Los de Córdoba. En Córdoba vas a hacer eso,
248960	250200	porque queremos ver tu ass.
250200	252380	En Córdoba, perdón, yo la entrada
252380	254640	que ya compré para Rebord dice cosas en Córdoba,
254860	256420	vamos a ver tu ass, ¿no?
256900	258340	La respuesta es no, queridos cordobeses,
258400	260380	la respuesta es no. Yo les dije, el Rebord
260380	262480	cumple, va a tener sorpresa. Yo avisé, yo siempre
262480	264520	aviso. Si digo que hay sorpresa, hay sorpresa,
264580	266840	si hay foto y video. Si yo digo que voy a decir
266840	268600	decir cosas, voy a decir cosas.
268980	270400	Tranquilos mis amigos y mis amigas
270840	272300	cordobesas. Voy a decir cosas, no voy a
272300	274180	salir en orto, va a ser un dice cosas normal.
274500	276320	Es decir, voy a ir a decir cosas, que es, de hecho
276320	278440	literalmente, lo que compraron,
278440	280480	¿no? Así que, pasame audio nomás, Maxi,
280520	282580	si me decís que hay
282580	283700	opiniones y ciencia y verdad.
284700	286460	¿Qué haces Rebord? Quería saber
286460	288560	si viste en tu aparición
288560	290860	como ved, algún agobero
290860	292740	tocándose disimuladamente
292740	295140	por abajo del pantalón. Mucha, mucha,
295220	296360	mucha masturbación.
296720	298320	Mucha masturbación, primera, segunda,
298380	300240	tercera fila, mucho ñaca, ñaca,ñaca,ñaca,ñaca,ñaca,
300260	302000	Pagerson, todos, todos,
302800	303280	todos,
304640	306320	todos a puro Pagel, Drow Adams,
306320	308220	todos como loquitas estaban.
308740	310440	Así que sí, lo disfrutaron
310440	312220	muchísimo, lo disfrutaron muchísimo.
312500	314000	Tuvo lindo. Yo la pasé muy bien.
314180	316260	Renofuego dice, ¿pero te vamos a ver en orto o no? No,
316360	317880	Renofuego no, es lo que trato de decirles.
318140	320320	Yo voy a ir a Córdoba, voy a hablar
320320	322320	con ustedes los cordobeses, voy a dialogar
