start	end	text
4840	12760	¿Qué pasó? ¿Qué es esa música sin copyright? ¿Estoy un poco borroso? Puede ser, pero no importa,
12840	17300	me tengo que mover, me tengo que mover para que me enfoque, me tengo que mover, no está funcionando,
17300	22100	no está funcionando, pero no importa, estoy borroso ya va a llegar el momento, puede meter la mano
22100	28660	de costado, esa mano que están viendo, no pasa, no sucede, nada, se reenfoca, se veía perfecto
29820	35340	¿Qué pasó? ¿Qué pasó? ¿Qué es esa nitidez, papá? La mano que veían era, ¡oh la reconcha,
35680	40640	su puta hermana boludo! ¿Por qué se desenfoca solo? Bueno, ya fue hermano, este va a ser un
40640	44040	programa radial, va a ser un programa tradicional de radio para que la gente lo escuche en su casa,
44260	50120	mucha gente escucha Maga por radio en sus automóviles, están disfrutando de un poco
50120	56480	de cortinas deliciosas y sin copyright, por eso tienen tanto flow, la mano que veían recién era
56480	63800	de Juan B. Selva, The Jungleman, The Jungleman, Juan B. Selva es su usuario, el otro día,
63800	70020	el otro día te compartió Luquita Rodríguez, el mismísimo streamer, compartió tu reel de edits y
70020	73420	tenemos como siempre nuestro equipo de trabajo con Maxi escuchando sus audios en este momento,
73480	82640	me dicen acá 11 39 39 88 88, ya hay audios agoveros, qué lindo se ve esto, me gusta mucho más el chat
82640	88060	así, ya te lo puedo decir ahora, Jungleman, que lo configuraste y se ve espectacular,
88300	96320	se ve espectacular, quiero decirles compatriotas que tengo algo duro para abrir este programa,
97160	105840	algo difícil que me anda pasando y va a ser fuerte lo que voy a decir, no sé si merezco aplausos,
107660	112940	eso es un poco lo que me está pasando, no sé si merezco una ronda de aplausos, no sé si hoy
112940	122940	va a haber ronda de aplausos, no sé si va a haber, estoy en un día de malas, la semana anterior fue
122940	132860	mala, Gabbatt dice necesito esos aplausos, yo también, pero no sé si los merezco Gabbatt y
132860	138660	yo siempre soy honesto con ustedes, veo que algunos también se preguntan por qué no arrancamos con el,
139320	143260	porque notaron que la cámara sólo se abrió cuando arrancó la No Copyright Music,
143780	150440	no, ellos saben por qué es, porque la otra vuelta YouTube, esta plataforma,
150880	155440	nos censuró el himno nacional argentino, o sea nosotros dijimos bueno vamos a hacer un
155440	159180	magazine copyright no va a haber problema con esto, va a estar todo bien, empezó a sonar la
159180	165140	YouTube dijo desmonetizado, desmonetizado, vieron Chávez, ubican el video de Chávez,
166360	170460	gran estandapero Chávez, si no lo disfrutaron como político, al menos disfrútenlo como estandapero,
170800	177020	hay un gran video de Chávez donde él va caminando por Caracas y él va observando edificios y dice,
177480	184660	ves esa casita de allá, ven esa casita de por allá, allí una vez tomó el te Simón Bolívar,
186660	193700	exprópiese, esto es literal, en el video él señala edificaciones y dice exprópiese,
194600	202440	y va dando como arrueto y se ve en esta esquina, una vez el libertador Bolívar pasó por aquí y se
202440	208660	tomó un té de tilo, exprópiese, bueno lo mismo nos hizo YouTube, YouTube dijo desmonetizado,
211540	216820	desmonetizado, pero YouTube, pero señor YouTube es el himno nacional argentino,
217660	224380	es desmonetizado, bueno esa parte no más no, todo el video, desmonetizado, así que estamos
227300	232360	empezando, empezando a armar alternativas no copyright para darle cada vez menos margen,
232420	236020	pero vamos a ver si lo logramos, va a depender de todos los agoveros y agoveras a ver si lo
237020	246300	les estaba diciendo, estoy de malas, estoy enojado, estoy de mal humor, semana dos y ya estoy de mal
246300	251280	humor, porque o sea la primera entiendo vuelta de maga, felicidad, esta segunda ya estoy hinchado
251280	258320	las pelotas de verdad, la semana anterior me costó mucho, me costó mucho, Isma Periola dice,
258460	262140	le sale igual, hago un muy buen Chávez, tengo muchos talentos ocultos que ustedes todavía
262140	269540	no conocen, estoy enojado, así que depende de ustedes, hoy es de esos programas que los
269540	276360	agoveros núcleo duro conocen bien, dependen de ustedes, así que mándenme 11 39 39 88 88,
276540	282160	ya desde ahora les digo, les tiro la pelota a ustedes, tírenme lo que sea, que la bajo de
282160	288700	pecho, mitad de cancha, con un toquecito de calidad de esos que solo hacen los cracks y salgo jugando,
289180	295000	igual, igual hay algunas cosas que llaman poción de buen humor, por ejemplo este tremendo póster,
295000	299940	ah mira claro, el coma, el croma me lo recorta, pero ve que loco este igual, da un efecto muy
299940	304900	raro, el croma me lo recorta, así que vayan a instagram.com para poder apreciarlo bien,
305200	310380	pero el fabuloso comic board no solo hace estos diseños, sino que se toma el trabajo de imprimirlos
310380	316200	y traermelos acá a radio nacional, es el número uno comic board, ahora estrenó instagram, hizo
316200	323900	también una portadaza para hoy, creo que comic board, uno podría decir que es el más fino de
323900	330760	los agoveros, comic board, es el más fino, agarra y redita tapas y las hace con una sutileza que es
330760	337520	como que incorpora el diseño al trazo original de la tapa del comic, es impresionante, es
337520	341060	impresionante, así que le quiero agradecer a comic board, vayan a seguirlo a instagram,
341060	346720	vamos a repartir cosas, acá el jungle man me puso la tapa que hizo el loco maxi para el día de hoy,
347040	352100	este es un buen tema, si quieren hablar de esto es un buen tema, pero ya mismo estoy tan hinchado
352100	356660	los huevos, estoy tan enojado, ¿saben por qué estoy enojado? yo creo que estoy nervioso,
358700	368100	estoy nerviosito, eso es lo que me pasa, estoy un poco nerviosito en general, creo que me,
368700	375620	y es que me pasa en los marzos, marzo del año pasado yo estaba igual, marzo del año pasado
375620	381860	estaba nerviosito yo también y este marzo no es excepción, hay algo del arranque del año,
381920	386660	arrancar con todas las cosas, de la tensión, de la presión, autoimpuesta por supuesto,
387120	396740	pero que me pone en rosca, me enoja, entonces estoy irascible, estoy difícil, ¿cómo estoy?
396740	403600	me tomo las cosas mal, las cosas me caen mal, si ahora alguno de ustedes me hace un chiste me cae mal,
403700	410020	por ejemplo, estoy nervioso, acá me dice viniste caliente a laburar rebor, sí, como la frase de
410020	415040	ese histórico agovero catalizador, el que me la tiró debe saber la anécdota, de ese que en un
415040	421360	bondi, en un chofer dijo viniste calentito a laburar y se pudrió todo, estoy enojado, chonzón dice
421360	427520	debe ser la luna, ojalá, dame una excusa exógena, esto es como, estás loca, estoy como loquita,
429100	435660	eso me pone buen humor, durante el fin de semana solo vi videos del bananero, el bananero tiene
435660	441260	muy buenos videos de recetas, yo no sabía esto, voy a aprender a cocinar con el bananero, recetas
441260	447320	bananeras es espectacular, estoy enojado, mira, cobayo metafísico, qué buen nombre hermano,
447320	453720	cobayo metafísico, gran usuario, cobayo metafísico, dice a mí me pasa en los eneros,
454540	458680	bueno a mí me pasa en marzo, a fin de año también me pasa, me pasa a principios y a fin de año,
458720	465300	que están cerca, pero estoy nerviosito, estoy nerviosito y también me pasó que la semana
465300	473380	pasada hubo tanto calor, tanto calor, que algunos me preguntaban, por ejemplo, que onda el focus,
473380	479640	el focus como saben es el sistema por el cual nos rescatamos durante la semana, vamos al gimnasio,
479840	485200	entrenamos, comemos más o menos bien y cuando llega el fin de semana tenemos un sistema oficial
485200	490440	de permitidos, el SOP, no estoy pudiendo hacer focus un carajo, por eso les digo que creo que no
490440	496480	merezco aplausos, muchos ustedes me dicen ronda aplausos, ronda aplausos, loco hay que ganarse
496480	502120	los aplausos, hay que ganarse los aplausos y yo siento que estoy haciendo las cosas bastante mal,
502120	509700	estoy muy nerviosito y estoy alterado y creo que no merezco sus aplausos y esa es mi primera
509700	516340	confesión del día a goberos y a goberas, Maxi me dice que hay audios, a ver pasemos un audio a
516340	531780	gobero, a ver qué dice, noches, rebord, acá tomando un vinardio, haciendo previa, hermoso lunes y me
531780	542140	dice si es un tema focus o si es un concepto abandonado. No, abandonado no está, yo me caí del
542140	552120	focus, esa es mi otro titular, es revista para boards, para t-boards, el titular es yo así,
552280	557340	tipo me voy agarrando la cabeza entre comillado me caí del focus, como mira ahora como me desenfoqué
557340	563940	justo cuando dije eso, casualidad, no lo creo, me caí del focus, esa es mi segunda confesión a gobera
563940	569300	de la jornada y estoy para atrás loco, estoy para atrás, es verdad que juega boca, juega ahora,
569380	575200	si no me equivoco a las 9, partido con defensa y justicia nos jugamos la punta, gana boca puntero
575200	579640	del campeonato, capaz podemos hablar un poco de eso también, capaz podemos hacer un poquito de
579640	585560	footboard si quieren, como si no quiere la cosa, Maxi vos tenés a mano el sonido del footboard,
585560	590520	lo tenés a mano, sí, porque si la gente quiere, no sé acá ahora lo que dice el chat,
591060	598000	pero si quieren hacemos un poquito de footboard y si hay, vamos un poquito de footboard, quieren
598000	604080	a ver, el focus me dejó a mí, ese también es un buen título, si quieren hacer dale boca,
604380	610760	me caí del focus, hay algo ahí, graph de lan, footboard, boca, reblur, te ganó el narco,
612120	617600	te ganó el narco, es buenísima, el narco nos ganó, quieren hacer un poquito de footboard,
617740	625200	Tayel dice no por favor, no, el único testimonio que llegas a leer es no, no le gusta esto para
625200	632120	nada, dice no, pero vamos a hacer un poquito de footboard, vamos a hacer un poquito de footboard,
633460	640600	loco, mirá lo que es esta cortina, la acuerdan, la extrañan, mirá lo que es esta cortina,
642780	648640	vamos a hacer un poquito de footboard, un poquito nada más, un poquito, un clip de footboard adentro
648640	653380	de este maga desenfocado, es alucinante lo que la cámara me está esquivando, pero es como que no
653380	657600	me toma, no me reconoce como humano la cámara, dice bueno, debe haber algo ahí atrás, no sé,
657600	666580	no lo estoy viendo, footboard, quiero hablar de River, yo la, no se puede hablar ahora de esta
666580	671020	cortina, necesito bajarla, necesito volverlo sin copyright, necesito volverlo, es muy poderosa esta
671020	676120	cortina, la gente se descontrola, la gente se descontrola, necesito hablar un poco de River,
677100	686420	yo lo dije la semana pasada, River está muy bien, River está muy bien, porque Demichelis está haciendo
686420	694040	todo lo que tiene que hacer un villano medio sassy para construir su mística, Demichelis es un villano
694040	702680	al estilo, el diablo viste a la moda, entendés, Demichelis mira de arriba abajo al técnico de la
702680	712480	nus, así le hace, con esa ropa venís a entrenar, pobre le dice, Demichelis es un personaje medio,
712480	720180	es las divinas, se entiende, es sassy Demichelis, Demichelis es el diablo de las chicas super
720180	726220	poderosas y eso está bien porque es muy River, Demichelis es Draco Malfoy y yo creo que eso es
726220	742460	un acierto metafísico de billetera brito, que se trajo un técnico malo y sassy, entendés,
742460	750600	medio mugatu, de relict, Demichelis es un villano sassy y está muy bien, porque eso es
752240	758320	espiritualmente gallina y eso a los gallinas les hace bien, fíjate el partidazo gallina que metió
758320	770240	en la otra vuelta, fue gallina más árbitro, como tiene que ser, y reclamando, no a Demichelis nena,
770240	779320	por aquí pasa Demichelis, y las declaraciones fueron, no hay aire, no hay aire en el vestuario,
780360	788760	Demichelis doesn't like, el doctor malito, hay que grasa la nus, dice acá, tome y gacha y grasa,
789080	796640	la nus muy grasa, primero la nus irse pudriéndola, grasa mal, Demichelis todo en su black suit,
797920	807320	slim fit, hard glam, ponen acá, hago reprogan, por eso es Jesus de Big Lebowski, ¿se acuerdan de
