start	end	text
10580	11540	Siii, siiiiiiiiiiiiiiiiiinuuu...
11540	18020	Mira, no tengo ni auriculares, estoy a capella, es el MAGA mas casual hasta ahora
18020	21520	¿Qué pasa? es winter season son las vacaciones de invierno
21520	25580	MAGA no se toma vacaciones loco, MAGA está siempre para la gente que lo necesita
25580	28540	salvo cuando yo lo necesito y ahí ustedes están para mí
28540	30800	Ese es uno de los códigos que tenemos acá en MAGA.
30940	32260	Ojo MAGA sin auriculares, eh.
32500	34200	Ojo MAGA Unplugged.
34280	37120	Ojo MAGA Unplugged, donde simplemente...
37120	38180	Buen... ¿Qué dicen acá?
38440	39100	¿Qué dicen acá?
39380	42600	Buen sembrado. ¿Qué pasa? ¿Están apreciando mi...
42600	44060	mi medical hair, no?
44240	45620	¿Cómo viene este medical hair?
45660	47980	Hay mucha gente preguntándome, ¿pero qué significa eso?
48480	48860	Rebord.
49080	52600	Por favor, ¿no me podés decir un poco qué es lo de medical hair que está sucediendo?
52860	54360	Y yo les digo, tranquilos, tranquilos.
54480	56780	Ustedes lo único que tienen que hacer es ir a medical hair y decir,
56780	57880	¿no me das un rebord?
58180	59440	¿No me haces un rebord treatment?
59940	60740	Y ahí ya saben.
61020	64520	Es una técnica nueva y experimental que se hace solo conmigo.
64660	66200	Porque yo les dije, quiero que cuiden mi cresta.
66500	69180	Y me dijeron, en medical hair vamos a cubrir tu cresta como lo quita.
69720	71880	Así que si van y dicen, yo quiero lo que se hizo rebord,
72100	73460	medical hair sabrá aplicar.
73680	74840	La rebord, se dice.
75280	76300	¿Cómo andan?
76380	79040	¿Papa Eldos habla de pijurro?
79960	80400	Habla...
80400	83460	Hay mucho gallina también, por supuesto que tienen alguna consideración.
84160	85080	Hay tanto para hablar.
85080	87240	Hay mucho para hablar en este programa.
87480	89420	Tenemos algunas cositas...
89420	92000	No, a ver las consideraciones estas que me dicen ahora
92000	94000	de River felicitaciones.
94500	96500	Felicidades a los gallinas, felicidades al campeón.
97020	100640	Yo solo tengo el deber de observar que el Deep Lore gallina lo sabe.
100800	103600	O sea, algo que los verdaderos gallinas ya dicen y ya comentan,
103620	106460	pero nunca van a blanquear frente a un bostero.
106660	108620	Que es que saben que River no está muy bien.
109420	110180	Y lo saben.
110520	111520	Y les preocupa.
112360	114140	Intergallinas, yo sé que se habla esto.
114140	116560	Me van a decir, eh, hijo de puta rebord.
116960	117600	No, no, no.
117720	119400	Ya sé, ustedes ahora tienen que putearme.
119480	120500	Es lo que tienen que hacer.
120880	125760	Pero yo sé que en el Deep gallina hay habladurías
126340	131620	y no se termina de aceptar el sistema prusiano de Michelis.
131900	137060	Se extraña mucho, se extraña mucho el River napoleónico.
137260	139540	Se extraña la Francia gallardesca.
140080	143680	Se extraña la gestión de Donofrio, del rodo Donofrio.
143680	145800	Descritorio Donofrio, ¿sí?
146080	148060	Un tipo con cintura, con habilidad.
148360	152660	Y hay algunos rumores en los cuales Brito no termina de conectar.
152780	155360	Esto, intergallinas, eh, intergallinas.
155980	157660	Tiene un modelo medio angelicista, ¿viste?
157740	160880	Tratas de compensar con guita, guita.
161340	164520	Algo que tenés que meterle muñequeiras, muñequeiras.
165060	166120	Escucho, te juro que escucho, eh.
166120	167880	Ojo con este, ojo con este maganplagra.
167920	169040	Ahora me pongo para los mensajes.
169360	170980	Ojo con el maganplagra, hay algo ahí.
172220	175400	Entonces, angelicista era lo mismo pero con un balde de grasa encima.
175400	181400	O sea, angelicista era lo mismo pero arriba de una Ferrari y en cuero y aceitado.
181680	182200	Era lo mismo.
182720	185100	Brito, eso es muy fino, no significa que sea eso siempre, eh.
185460	187920	No significa que no lo pueda revertir y lo que sea, ¿sí?
188160	190680	Eso como, como algunas, algunas cosas.
191060	195020	Mientras sea europeo estamos bien, dice Komsk, que está bien igual.
195100	195740	Por eso está bien.
196020	199100	O sea, yo estéticamente, y lo dije siempre acá,
199100	200980	banco el ciclo de Michelis.
201120	204540	Me parece lógico que después de Francia venga un alemán y está todo bien.
205020	207600	Y después aparte, perdón, eh, perdón.
207900	210020	¿Pero en serio me quieren convencer de que no escuchan Maga?
210880	215460	La declaración del otro día donde aclara que con Pinot le habla en alemán.
217100	220000	Esa fue una declaración solo para footwork, eh.
220320	224100	Yo estoy, yo lo que quiero empezar a advertirles es que así como se decía
224100	228560	Life imitates art, life imitates reward.
229460	233380	La declaración de Michelis diciendo nos ponemos con Pinot a juguetear y
233380	234200	hablar en alemán.
234960	238960	Oh, Deich futbund des Bundesliga.
239100	240580	Así se ponen a jugar en alemán.
240780	242180	Déjate de joder, papá.
242300	243400	Footwork total, eh.
243460	245460	Se me quemaron las pestañas de footwork.
245820	248480	Pero es una declaración, son agoberos, boludo.
248680	251420	Das ist River Platten, ponen acá.
252820	253760	Ah, somos hijos de puta.
253760	255120	Está muy bien igual, eh.
255140	255940	Está muy bien.
256440	259660	Yo, si fuese gallina, yo si fuese gallina, lo único que yo,
259700	261560	de Michelis en cualquier momento se deja un bigotito, eh.
261900	263940	Ahí se va a empezar a poner peligrosa la cosa.
264340	267100	Cuando de Michelis caiga, ¿sí?
267660	272460	Mein de Michelis caiga con un bigotín a decir, ¿qué pasa, qué pasa?
272980	274460	Das ist River.
275260	277440	Ahí, ahí se empieza, ahí se empieza a complicar.
279740	280700	Das fuchbord.
281700	284440	La conferencia de prensa esa se va a empezar a complicar.
284800	286100	Pero el agobero estará ahí bancando, eh.
286280	287520	El agobero estará ahí bancando.
287740	290840	El agobero estará ahí diciendo, bueno, es lo que hay que hacer.
290860	292360	Hay que profundizar, loco.
293000	294620	Así que eso para tener en cuenta.
295700	297000	Quería felicitar también.
297360	298500	Uh, cierto que hay placas ahora.
298840	300200	Jungleman, ahí está el Jungleman.
300760	302240	Jungleman, qué bueno que viniste de vuelta.
302460	304400	Gracias por la placa, gracias por la placa.
305480	306720	Qué rompe huevo, boludo.
307240	308240	Pero bueno, hay una placa.
308260	309020	Mira, ponela, ponela.
310120	311200	Hay una placa.
311240	314280	Esa es la placa regalada a todos los agoberos gallinas.
314680	315980	Agob River, que está también.
316480	317400	Eh, ya tienen.
318280	321540	Ya tienen la felicitación oficial de fútbol que corresponde, loco, corresponde.
321580	322880	Felicitaciones al campeón.
323200	327500	Yo me junté el sábado con mis amigos, cayeron el Tano Scarpatti y Fede Mochi.
327720	330020	Recontra dos vueltas y yo felicité al campeón.
330040	332480	¿Qué se piensan, que no reconozco eso?
333280	338080	Así que quiero felicitar también a Agobz con excelente desempeño.
338080	340520	Están teniendo un excelente desempeño.
344260	345460	Vigilante board, ¿no?
345460	346580	¿Es el agob policía?
347840	349140	Creo que es vigilante board.
349420	353640	Hay un agob policía que emula la fuerza represiva de los sistemas agob.
354480	356720	Y me apasiona ese agob.
357000	361500	Desde que ese agob apareció, lo único que hago es festejar sus tweets.
362340	364880	Porque reprime los agob fuera de lugar.
364880	367880	Y aparte lo hace con una línea que el resto no apreció.
368620	370820	Pero fue una frase que le dije a Luis Nobarecio.
