start	end	text
14980	19040	Nooo, nooo, mira lo que es este chat, mira lo que es este chat, mira lo que son esas
19400	23580	transiciones, mira lo que es esta posición de Mick, mira lo que es, mira lo que es,
24340	27920	hay radioarte, mira lo que es esto, cualquiera de ustedes puede hacer esto, mira lo que es
28060	32280	esto, mira lo que es esto, mira cómo termine un set en 10 segundos, de qué se va a tratar
32280	44540	MAGA hoy, vamos a ver, mira lo que es, ¡ohhhhohhhh! reverse Mick position style OP on the mix,
45160	50480	mira lo que es esto, me están diciendo, el chat estaba antes, al fin terminó esa malvada
50480	56120	música con copyright, que no invita a bailar, que no invita a hacer creativos, que no invita
56120	62460	pensamiento y ya estamos por fin de vuelta con... ¡Mira! ¡Uff! ¡Uy! ¡Mira lo que
62460	67420	es esta suavidad, boludo! Esta... La suavidad así no tiene copyright. No
67420	72540	podés copyrightear la suavidad. You can't own the suavity. Es el tema. Las
72540	77900	bandas de lo que tratan toda la vida es degenerarla su suavidad del no
77900	81800	copyright. Y lo tratan de hacer y dicen maldición, maldición, no lo logramos.
81800	86860	Todavía no es lo suficientemente neutra y olvidable y de fondo. Todavía no es lo
86860	91800	suficientemente no copyright. ¡Maldición! ¡Menos! ¡Menos personalidad! ¡Este tema
91800	95980	necesita menos personalidad! Y ahí lo van logrando, lo van logrando a poco. ¿Cómo
95980	102220	andan mis estimados papadercolapios? Hay algo que me gusta del bric así, ¿eh?
102540	109460	Hay algo... O sea, el jungleman me dice... Sí, sí, hay algo ahí. Jungleman, ¿estoy loco o hay algo ahí, eh?
109460	116080	Siento que descubrí algo. Siento que después de tres años de MAGA, un día hice así y dije...
116080	121680	¡Oh! ¡Attention! ¡Attention a esta posición! Me da mucho margen de maniobra. Me da estos
121680	126420	movimientos. No podría serlos si tuviera el mic para adelante. Así que así
127160	129720	arranca este programa. Arranca con descubrimientos, arranca con
129720	136460	ciencia, arranca con verdad y, por supuesto, arranca con ustedes. Voy a
136460	141740	reiterar el audio, ¿no? El... Perdón, el audio. Para mandar audios. Voy a reiterar el celular, el
141740	145100	número para mandar audios. Que honestamente un poco me ofende tener que
145100	149960	decirlo. Yo sé que también quería decirles, como el primer agovero que soy yo,
150040	153460	yo soy el primer agovero, ustedes lo saben, me ofende tener que seguir
154560	158280	diciéndoles el WhatsApp como si no lo tuvieran todos en su celular ya. Como si
158280	166340	no fuera... Hablar con Rebord. ¿Vieron en la serie Watchmen? La serie... ¡Ah! Ahí está, los jungleman lo puso
166340	171320	lo que es un profesional, ¿eh? Lo que es un profesional. Junglemen, en tres años
171320	176760	nunca hicimos esto. Tres años de magas nunca se nos ocurrió poner en pantalla el
176760	183180	número del celular. 11 39 39 81... No, es un chabón. Los que le pegan distinto, le pegan
183180	187380	distinto, ¿viste? Cuando vos agarrás ves a alguien y decís, juega distinto el loco, ¿eh? Y sí, la
187380	194660	verdad es que juega distinto. Así que 11 39 39 88 88 hay audios y les voy a decir
194660	198680	algo. Mirá, mirá cómo voy a arrancar. Voy a arrancar así, con mis libritos en mano
198680	202340	que mi amigo Juanma Valdés me mandó unos libritos por mi cumpleaños, sigo
202340	206680	teniendo regalos. Me mandó de Osvaldo Lamborghini, la causa justa, me dice que me
206680	210620	va a gustar mucho este loco y no lo conozco y me mandó de César Aira, la
210620	213640	guerra de los gimnasios. Así que tengo mucho material de lectura, mucho para
213640	217640	leer, de regalitos que me van llegando. Cosas para contarles, tengo pocas, la
217640	224020	verdad. Tengo para decirles que Córdoba está agotado, Rebord dice cosas en
224020	226820	Córdoba, si no me equivoco, es la semana que viene, creo que voy la semana que
226820	230860	viene para allá. Está completamente agotado. Así que si había alguno de,
230860	235760	algún cordobés que estaba por ahí diciendo voy a ver, sí, voy a sacar
235760	241320	último momento, bueno, ya no, no hay lugar, no llegas, no puedes ir. Si había algún
241320	246200	cordobés ahí que se puso enardecido con el discurso de su nuevo gobernador, de
246200	253320	Charllora, con los poderes del cordobesismo originario, resucitó, hizo la
253320	258000	fusión, la fusión de Dragon Ball entre Eschiareti y de la Sota y dijo
258000	264020	Charllora, papá, hizo el discurso más, tomemos la capital federal de la historia
264020	269620	desde Urquiza, desde el Manco Paz, el discurso más encendido de la galaxia. Si
269620	274560	alguno de esos cordobeses salió de ese acto y dijo, estoy ahora para escuchar a
274560	280880	Rebord, dice cosas, quiero, quiero ir a un teatro y ver un porteño hablar, lo
282120	288500	ya no puede, ya no puede, ya no hay más entradas, se agotaron por completo con
288500	291740	lo cual quiero agradecer a los agoberos y agoberas de Córdoba por hacerlo.
293320	297400	Después no tengo, les decía, no tengo muchos más temas urgentes, por supuesto
297400	303040	que han sucedido cosas, han acaecido acontecimientos, como siempre acaecen en
