start	end	text
1000	2000	La pelota lo...
2900	4000	La pelota lo se marcha
5700	7020	Carajo de mierda
7020	8000	Carajo de mierda
8600	10000	Se van a remontar
11160	12000	a la estratófera
12760	14400	Usted tiene que arrepentirse de lo que dijo
14940	16160	Usted si tiene que arrepentirse
16160	17220	porque yo no hice nada de eso
17220	19360	Ay si querés llorar, llora papi, papi, por favor
22040	22920	Ay ameee
23720	25640	Sin diputable, hermano
25640	26280	Solamente que
26280	27380	temble temor a Dios
27380	30060	Y a mi en todo caso también un poquito
30060	31380	Para, para, para, para
32160	34640	Con 15 pesos me hago alto guiso
42420	45900	No puedo ahora ponerme a emisión
45900	47280	porque si no me pierdo
47280	48740	Estoy jugando sin cámara
48740	50360	Estoy jugando sin cámara
50360	53160	Como un profesional o como la radio antes
53160	56100	No tengo patrón, no sé cómo me estoy viendo
56100	57840	No sé cómo me estoy viendo
57840	60140	Puedo seguir simulando aunque no sepa
60140	61520	Cómo me estoy viendo
61520	64280	¿Cómo andan estimados papadercolapios?
64420	65940	Estoy acá a dos computadoras
65940	68100	Fui desafiado por Maxi
68100	70100	Que me dice, más arriba, más arriba
71000	72240	Metele, hijo de puta
72240	74060	Baila, baila, hijo de puta
74060	75740	Y yo estoy...
75740	76960	Es verdad que no estoy tan arriba
76960	78360	Es verdad lo que dice Maxi
79660	81660	Estoy un poco cansado
81660	83300	No quiero ir a putos gimnasios
83300	85460	Se podría decir en otros términos
85460	86220	Estoy un poco cansado
86220	89300	No, no voy a disimularlo
90260	93060	Estoy un poco ajoba
93060	94920	Estoy mitad de tabla
94920	96480	Estoy mitad de tabla
96480	97540	Me dicen y ese pelo
97540	99600	Y ese insane ass hair
99600	101340	Me dicen cómo está Medigal Hair
101340	102880	No sé ya qué hacer con el pelo
102880	105200	No sé qué se hace cuando tenés opciones de pelo
105200	106180	No sé bien qué hacer
106180	109140	Estoy muy tentado a raparme completamente y a afeitarme la cabeza
109140	112020	Porque me inquieta la cantidad de pelo que estoy teniendo
112020	114720	Así que no sé bien cómo administrar este pelo
114720	117160	Cómo andan estimados paparcolapios
117160	119140	Cómo están agoveros y agoveras
119140	120240	Estoy un poco abajo
120240	121580	Estoy un poco abajo
122080	124000	Lo cual no significa que no tengamos un gran programa
124000	125760	Maga se hace
125760	127780	Llueva, nieve, truene
127780	130860	No importa lo exigentes que vengan siendo los días
130860	132020	No importa lo que esté pasando
132520	134500	No importa si hay ganas
134500	135500	O si no hay ganas
136020	137380	Teñite, acá me dice Castor Pollux
138020	139020	Ya me teñí una vez
139020	140740	Cuando tenía un pequeño forculompio
140740	143060	Y en esas épocas de la pandemia me teñí de rubio
143060	145420	Me teñí el jopo y la barba de rubio
145420	147100	Fue gracioso, estuvo bien
147100	149020	Después pasé una suerte de fase de
149680	151040	De irlandés con sobrepeso
151040	153300	Que era rarísima, o sea el arranque estuvo bien
153300	154780	Y después fue mutando
154780	156820	En formas extrañísimas
156820	158700	Va cayendo la gente, va llegando
158700	161080	Últimamente saben que maga no estoy avisando
161080	161860	Que hay maga, ¿vieron?
163220	164480	Simplemente maga sucede
165020	167020	Porque confío en que los agoveros y agoveras
168650	170290	Peregrinarán a la iglesia de lo maga
170290	171270	Y que vendrán para acá
171270	172370	Como efectivamente estoy viendo acá
172370	174690	Que hay unas 1700 y pico de personas
174690	175950	Y siguen cayendo
175950	178110	Maga de bajón 2.0
179510	181450	¿Cómo andan papercolapios?
181710	183150	¿Cómo andan papiships?
183590	185210	¿Cómo están? Estamos con el loco Santi
185210	187070	Hoy no está The Jungleman en los controles
187650	189450	Se la está fugando el Jungleman
189450	190270	Hay que decirlo también
190270	192210	Desde que privatizó los magas
192210	194010	Y la gente se los empezó a pedir a mano
