start	end	text
8540	11760	¿Cómo está la música sin copyright, eh?
13540	20500	El otro día leí un comentario que decía, finalmente pasó, ya no extraño la otra parte
20500	25380	del tema, ahora espero que ingrese la música sin copyright, o sea, alguien que escucha
25480	34020	hace dos años por primera vez agarró y dejó de sentir el postfacio de nuestra intro original
34020	41520	y de repente dice que arranque un poco de música sin copyright, que ya estoy vibrando,
41780	47300	que estoy vibrando y no quiero pagarle derechos tributarios a nadie, estoy vibrando pero no quiero
47300	52460	que eso facture en ningún lugar, ¿acaso quién es el dueño de vibrar, eh? ¿Quién es el dueño
52460	59100	de vibrar? Nadie, esto no tiene copyright, papá, como maga, vos puedes agarrar y clipear maga,
59420	66280	ponerlo en una nave, mandarlo al sol, encapsularlo y hacerlo como la imagen que se pone en el tema
66280	72880	el viaje de las partículas de Skye Bailinson, mandarlo a la estratófera y esperar que otra
72880	79080	civilización algún día agarre un archivo de maga y diga ¿qué fue esto? ¿qué era este programa?
79080	85000	Así es maga, maga es para el bien de la humanidad, maga es para todos, maga es tuyo,
85240	91420	es mío, se hace con tus impuestos de hecho, así que todos son técnicamente un poco dueños
91420	97100	acreedores de maga, por eso maga nos pertenece y maga es un derecho adquirido que se termina.
97400	103760	Cada maga estamos, un maga más cerca del final, recuerden que maga debe irse, estamos empezando
103760	109280	a gestionar una gran despedida de maga. ¿Vendrá el gran Rex finalmente? ¿No vendrá? ¿Estoy
109280	115540	amagando? ¿Estoy vendiendo humo? No lo sé, ¿lo saben ustedes? Tampoco. ¿Cuándo habla en serio Rebord?
115760	121640	No se sabe, no se sabe. Lo que sí parece que saben, como estos últimos días, es que piensa
121640	131060	Rebord políticamente, ¿no? Le juro, estoy a un tweet más recortando una explicación mía política
131060	137500	para legitimar alguna posición de salir a ser expresamente lo contrario. O sea, solo por gusto,
138020	145400	solo por gusto, estoy hinchado las pelotas, es la Week of Operations, semana de las operaciones,
146240	153780	entro a YouTube, entro a Instagram y me encuentro con recortes de mi propio rostro publicitados por
153780	159500	distintas fuerzas políticas. ¿Cómo puede ser? ¿Cómo puede ser? No tengo tantas opiniones,
159500	167820	son opiniones en contra. Hay Rebord que dicen cosas diferentes. ¿Esto es IA? ¿Esto es inteligencia
167820	174200	artificial? ¿Qué Rebord es el real? Estoy así, paso historias en Instagram y me encuentro una,
174500	179920	juventud no sé qué mierda, con un Rebord que, o sea, un poco más falta, es el recorte de Homero,
179920	189980	es el recorte de no, no, no desquites su ira conmigo, es hay que votar a Ramiro Marra. ¿Qué es eso?
190560	200060	¿Qué es eso? ¿Cómo alguien puede usar eso? Y lo peor, lo peor es ver una discusión en tu nombre,
200640	206480	una discusión en tu nombre, Panquequebord, sobrebord, y sí, que vengan los sobres, papá,
207990	216650	¿querés tu operación en Maga? Podés verlo. Escribí al 11-39-39, 88-88 y mandamos tu opereta,
216810	226050	11-39-39, 88-88. ¿Nos garpas algo? Y lo mandamos. Una opereta no se le niega a nadie. ¿Qué es una
226050	232710	operación además? Solo una, only one. Política se hace todo el año, pero la semana de las operations,
233610	241550	que venga sobrebord, que venga un poco sobrebord, ya dime a quién votar, sos un vendido. Sí,
241950	247590	que vuelva a agob y a sobrebord. Estoy un poco opereta a borde, estoy un poco no, pero realmente,
248110	253210	realmente me lo están haciendo. O sea, yo voy a un lugar y digo, la posición política de este espacio
253210	259650	es dos puntos, y digo sus argumentos, y después me encuentro con un recorte en Twitter que dice,
260310	269850	Rebord llamó a votar masivamente por tal, y yo, hijos de puta, hijos de puta, estoy a un Tweet,
271130	276690	estoy a un Tweet de salir a hacer completamente lo contrario, estoy a un Tweet, me dejo,
276750	286850	hago campaña por gusto, ¿eh? Si me apuran, no me apuren, no me apuren, no me apuren que salgo a
286850	294050	hacer campaña, ¿saben lo que es un sobrebord desatado? Ustedes no quieren ver un sobrebord
294050	305010	desatado. Salgo a hacer campaña, salgo a hacer campaña, me dejo los rulos, me dejo los rulos.
305990	311450	¿A quién hay que votar, Rebord? Voy a votar, si me molestan, voy a salir a hacer lo contrario,
311450	314170	voy a hacer, te lo merecés, pelucabord, me dice acá,
317530	323250	voy a salir a hacer campaña, así que hay que votar a Biodini, hazlo, loco, voy a salir a hacer
323250	330450	campaña. Lustochu, Lustowbord, Lustowbord no pega, o sea, lo intentamos, desde hago,
330670	337150	intentamos cobrarla, Lustowbord no pega, a ver, pasame, pasame audio si quieren operaciones,
337150	340730	si alguien quiere operaciones, mándenme, mándenme operetas. Hola Rebord, es obvio,
341210	345670	si el maga nos pertenece a todos porque está hecho con nuestros impuestos, era,
346030	352390	o vos vas a cada casa a ser un maga personal, o cada uno toma tus opiniones, se las utiliza
352390	366670	para promocionar y publicitar el candidato que quiera, el que no entiende es porque no es
366670	372270	acreedores de maga, todos tienen derecho a su operación, entonces quizás cada fuerza
372270	377750	política tenga que llevarse un spot de maga, quizás cada fuerza política es así, es como
377750	383750	una operación a cielo abierto, lo nuestro es una operación, o sea, es un quirófano abierto, quizás
383750	390190	cada uno tiene que llevarse su operación, o sea, si viene Lustbord y hay que decir, perdón,
391050	397110	campaña voto útil, si ya vas a votar a un radical, ¿por qué no votar al radical que
397110	410390	tiene chances de ganar? Lustbord, es fácil decirlo y sentirlo, Lustbord. ¿Qué más hace falta para
410390	416130	que veas que el único consenso de juntos por el cambio es evitar que gane Lustó? ¿Quién les molesta
416130	423510	más que gane? ¿Lustó o el peronismo hoy por hoy? Lustbord. ¿Quién les interesa más? ¿Cuál es el
423510	427570	primer consenso? Estar contra Román en boca y el segundo que no gane Lustó la ciudad de Buenos
427570	436810	Aires. Lustbord. Es fácil decirlo y sentirlo. Ya está, así se hace. ¿Vas a bancar a la casta?
438410	445390	¿Vas a bancar a los que te llevaron hasta acá? Te espero en el Movistar Arena, donde vamos juntos
445390	453950	a cerrar la campaña de Javier Milei. Libertario, Borde. Es así, es así, hay para todos. Pasamos
453950	458550	un audio, pasemos un audio, Maxi. Rebord, tenés que tener dobles tuyas diciendo cada uno lo que
458550	463350	cada espacio político necesita escuchar y tenés que cobrar absolutamente todo lo sobre de cada uno
463350	469830	de los espacios políticos. Es esa, boludo, es esa. Tenemos esta semana, es esta semana para un generador
469830	476590	de campañas. Es, vos necesitas tu opereta, Rebord está. Y a su vez los Rebord se cancelan entre sí,
476910	481990	porque cada persona, para legitimar su propia posición, creo que quiero votar a Lustó,
482190	488790	dice Dan Gross. Cada persona va a tener su Rebord para legitimar su posición, ¿sí? Si vos sos
489370	496310	Lustbord, por ejemplo, agarrás y decís, primero, de Lustbord, fact de Lustbord 1. Son todos
496310	501070	radicales. Objetivamente, todos los candidatos a la Ciudad de Buenos Aires son radicales. Votar
