start	end	text
0	1580	el
5280	6680	el
6680	7520	el
9840	11240	el
11240	12060	el
12060	12260	el
92960	94360	¿Es eso todo?
95040	96320	¿Quieres más?
123720	125120	¡Avengers!
130480	132240	¡No encuentras gentlecy!
134480	135080	AHHHHHH
142100	143560	Como andan abrime!
143640	145280	Abrime en cualquier momento!
146000	146600	Abrime!
146960	150700	Como estan que el copyright se vaya a la concha de su madre!
151500	154620	EL COPYRIGHT ME CHUPA BIE iN LOS HUEVOS
154620	155860	Como andan compatriotas!
156820	157860	Como andan a goberos!
158700	159860	A goberas!
160400	161480	Ay dios.
163100	170360	estaba... estaba acá leyendo, leyendo el chat mientras pasábamos ese clipardo que hizo Mauro.
170680	175200	Debería haberme aprendido su usuario Twitter antes de pasarlo, probablemente, pero claramente lo
175200	180540	vemos tener ahí a mano. MauroDZ, era algo así. Eso obviamente que es agovero, era la propiedad
180540	186640	colectiva del agoberismo. Ahora lo vamos a buscar, y voy a decir bien, y uno ponía ¿por qué son negros
186640	197900	los peronismos provinciales? Es excelente, es excelente. ¿Cómo andan queridísimos compatriotas?
198080	203500	¿Cómo andan en este espacio? Y es maga de feriado. Ya saben que los magas de feriado son especiales
203500	207520	porque es el núcleo duro del duro del duro, ¿no? La mayoría de la gente de los feriados los termina
207520	211580	de manera particular y si estás acá en maga es porque te gusta mucho el agoberismo y estás
211580	217300	bancando los trapos. Así que es maga especial de feriado. Hay un contexto importante también.
217760	224080	Están sonando los cuernos, están sonando los cuernos del peronismo y estamos convocando a todos
224080	241040	y por empezar se han prendido las almenaras del agoberismo. Estamos acá soplando el cuerno y que
241040	253160	agoveros, agoveras. Vengan, ¿dónde están? Vengan de todas partes, agoveros, agoveras.
257800	259760	¿Qué hacía? Era re triste el cuerno.
265940	273000	Ha sonado, lo escuchan de distintas partes. Hay agoveros, agoveros que se han oído de maga,
273120	278640	están en la casa y dicen ¿acaso ha sonado el cuerno? La profecía está sucediendo, nos llaman.
283840	291500	Suena, se vienen a congregar de todas partes, se aproximan. Algunos agoveros ya habían perdido
291500	299240	la fe. Agoveros viejos, agoveros marcados por las arrugas del tiempo. Carly. ¿Se acuerdan de Carly?
299600	308620	Carly pelada, toda arrugada en la casa, sin brazos ni piernas. Carly era un pequeño muñón. Carly
308620	318240	era un muñón agovero esperando el llamado y de repente Carly escucha el cuerno y dice ¿todavía?
318600	325860	Como le dice Gandalf a Snape, after all this time, después de todo este tiempo, sí Carly,
326140	332300	ha vuelto el llamado y saben que yo nunca los abandonaría. No es que la semana pasada no hice
332300	341040	maga porque tenía paja. Tuve que hacer y cumplir una misión muy importante que no puedo explicar y
341040	345760	es importante que todos los agoveros y agoveras sepan que no estaba con paja después de una
345760	350620	transmisión histórica de siete horas y 90.000 personas, no, para nada, sino que tuve que hacer
350620	357920	algo secreto y muy importante y que era en favor de absolutamente todos los agoveros y las agoveras.
357920	367560	Y ahora suenan los cuernos del agoverismo. Me están diciendo ¿cómo Gandalf? Gandalf a Snape,
369060	377380	ciencia. Hay algo ahí. Todos recuerdan el diálogo de Gandalf con Snape, así que ahí se dan cuenta
377380	382520	que eres agovero y quién no. Hay gente que dice, estoy casi seguro que era Dumbledore y hay otro que
383900	391640	sabe. El famoso diálogo entre Gandalf y Snape y eso es lo que nos congrega hoy. Nos congrega el
392220	397780	poderoso cuerno del agoverismo y van llegando, van llegando todas las tribus, van llegando las
397780	403360	tribus agoveras. Vienen los agoveros y agoveras originarios, vienen, vengan, vengan. Ustedes ya
403360	408720	saben cómo es esto. Vengan, ubíquense acá, ordenen la columna, ordenen la columna, pongan cordón de
408720	414220	seguridad, péganse con la gente de Levita, ya saben dónde ubicarse. Vengan los agoveristas,
414260	419600	peronistas históricos, vengan los peronistas agoveros, vengan también, vengan también. Uy,
