start	end	text
0	11000	La decisión sitúa la apertura del juicio justo un día antes del super martes, cuando más de una docena de estados votan en las primarias republicanas, que Trump lidera con holgura según los sondejos.
14180	19100	Cielo despejado en Buenos Aires, temperatura 18 grados, es la hora 20.
31960	36160	Partículas que contagian, crecen, cambian, mutan.
60000	61320	Noventa y tres siete.
65000	66320	Nacional Rock.
70560	71740	Baila.
73000	73960	Mente musical.
74000	74980	Musicalmente.
75600	75860	Treinta segundos.
75860	77440	Treinta segundos de...
77440	78880	Banos a los chinos.
91000	102480	Pero me encantaría que apare...
105860	107800	Nueve, tres, siete.
108340	110160	Vámonos de viaje.
112040	113000	Déjame llevarte.
113940	115420	Treinta segundos.
116680	117240	Nacional Rock.
121560	122360	Cielo despejado.
125320	127160	La pelota no...
127160	129480	La pelota no se marcha.
129960	131080	Carajo de mierda.
131480	132540	Carajo de mierda.
133020	136860	Se van a remontar a la extraertófera.
137140	138620	Usted tiene que arrepentirse de lo que dijo.
138700	139380	No, no me voy a arrepentirse.
139400	141420	Usted sí tiene que arrepentirse, porque yo no hice nada de eso.
141460	143600	Ay, si querés llorar, llorá papi, papi, por favor.
143780	144360	No, no, no.
144740	146380	¡Ay, papi!
147600	149240	No soy diputable, hermano.
150000	151620	Solamente que tenga temor a Dios.
151940	154240	Y a mí, en todo caso, también un poquito.
154440	156060	Para, para, para, para, para.
156720	158000	Con 15 pesos me hago alto guiso.
170640	171080	Buenas.
171860	172740	¿Cómo están?
173340	174760	Mirá lo que es.
175100	177120	Uy, mirá lo que es este luqueiro Adams.
177540	178180	Mirá lo que es esto.
178180	180600	Estamos con el loco Santi en controles.
180760	181640	Mirá lo que es este look.
182300	183140	Mirá lo que es esto.
183640	185060	Mirá como la gente...
185060	188180	Mirá como la gente enloquece en el chat.
188780	192300	En esta recepción de maga de todos los lunes.
192940	194340	La gente flequillo, borde, pone.
194420	195400	Mirá, el loco Santi.
195500	196400	Hacemos un zoom acá.
196760	197080	Mirá lo que es.
197620	198480	Mirá lo que puedo hacer.
199720	200420	¿Hay más zoom?
201360	202600	¿Tenés incluso más zoom?
203660	204140	No.
204420	205300	La respuesta es no.
205660	206180	Mirá esto.
206640	208440	Mirá lo que puedo hacer ahora.
210140	211180	Esta es mi identidad incógnita.
212120	212540	Ahí está.
212700	213280	Esto quería.
213540	214260	Mirá lo que es esto.
215480	217900	Si hago así es como el rulo de Clark Kent.
218780	222160	O sea, cuando yo hago así y salgo a la calle, nadie me reconoce.
222880	228220	La gente agarra y dice, wow, mirá ese chabón con ese misterioso rulo en la frente.
229200	230520	Qué fachero que es.
230620	231640	Es lo único que comentan.
231880	235500	Qué fachero que es y que para nada es reconocible con otras personas que yo conozca.
235500	236300	Mirá, mirá.
236360	237480	Así estoy en modo incógnito.
237700	238500	Así me reconocen.
239260	241720	O sea, si hago esto y dicen, ah, es Reborn, ya no lo puedo creer.
241840	244320	Y si hago así, dicen, no.
245000	246100	Mirá lo que es.
246220	248440	Es el luqueiro Adams.
248940	249520	Clark Kent.
249720	250180	Clark Kent.
250280	250760	Es mi identidad.
251040	254740	Cuando necesito estar de incógnito en algún lugar y me miran con sospecha, ¿viste?
254840	256460	Agarran y dicen, será, será.
256720	257720	No, no creo que sea.
258100	260820	Mirá cómo tiene ese Hoppinson Crusoe.
260820	261240	¿Sabes qué?
261260	262820	Quiero hacer un rulo.
263560	264900	Quiero hacer un rulo.
265000	265960	Quiero hacer...
265960	267720	Mirá lo que son estos estilos.
268540	270340	Tiene tantos estilos.
270980	272360	Mirá lo que es esto.
273040	274520	Mirá lo que es este estilo.
275440	276740	Es una locura.
277640	279480	Y esto es solo el principio.
279820	281840	Esto es solo el principio de Medical Hair.
282580	284580	El año que viene, ¿sabes lo que va a hacer?
284840	286220	Jason Momoa Board.
286940	288160	¿Sabes lo que va a hacer el año que viene?
288160	293160	Jason Momoa Board cuando pueda usar cientos de miles de estilos
293160	297160	y nunca sepas con qué estilo va a venir Rebord y va a ser emocionante.
297980	298540	¿Dónde está Rebord?
298540	299080	¡No saben dónde estoy!
299160	299420	¡Mirá!
299480	300760	La gente del chat no sabe quién habla.
301260	302020	No saben quién soy.
302240	303060	No saben quién soy.
303140	304000	Soy otra persona.
305040	305840	Esto es...
305840	307060	Mirá los estilos.
308060	309820	Medical Hair la está levantando en pala con esto.
310000	313180	Me dicen que todo el tiempo la gente escribe al Instagram de Medical Hair.
313360	314100	Ya saben cómo es.
314420	315680	A mí me hicieron un Rebord.
315680	317980	Es un tratamiento experimental de Medical Hair.
318320	320820	Que si ustedes lo quieren tienen que ir al Instagram de Medical Hair
320820	324200	y poner hola, dame por favor un Rebord para mí también.
324940	328880	Y ellos están legalmente obligados a hacértelo.
329200	330060	A hacerte un Rebord.
330340	333120	Así que si tienen dudas van a Medical Hair y lo ponen.
334160	335700	¿Cómo andan compatriotas?
335740	337380	Tengo algunas informaciones que dar.
337900	342000	La primera es que estoy más refriado que nunca.
342620	343660	Más refriado que nunca.
344280	346660	No tengo forma de respirar por la nariz.
347640	350160	Así que va a ser el maga más nasal hasta ahora.
350720	353560	Estadísticamente hablando, siempre que estoy así, termino mal.
353680	355080	Termino peor que como los arranqué.
355200	358020	O sea, cuando hago un maga a medias, termino semi-muerto.
358240	358960	La mayoría de las veces.
359040	360360	Así que tengan un poco de paciencia.
360660	363720	También es muy probable que suceda algo que a mí me pasa con frecuencia.
363840	366540	Que es que se me escape un Mockinson Crusoe a toda velocidad.
366660	367620	No sería la primera vez.
367900	368540	No pasa nada.
368840	369140	Sí, sí, sí.
369200	370460	Yo largo así.
370580	371700	O sea, flema.
371700	373200	Que salga en toda dirección.
373460	375640	Como saben, ya hablaré de eso.
376000	380040	Pero mi refrío es debido a mi heroico desempeño el fin de semana.
380140	381980	Mi novia se enfermó.
382340	383680	Y yo fui un héroe.
383920	385400	Y la cuidé todo el fin de semana.
386420	386940	Mucho.
387240	390440	Y si alguien dice otra cosa, está mintiendo.
390800	394200	Son refutadores de leyendas que tienen una línea no oficial.
394600	396900	Y que buscan perseguirme.
397080	399140	Moralmente, emocionalmente y judicialmente.
399840	400660	No, no.
400760	401780	La rompí todo el fin de semana.
401860	404400	Se me dan muy bien los T's.
404940	405320	¿T?
406520	407520	Vaya, sé que esto es.
408300	409680	La vara está medio baja.
409960	412140	Me querés decir que no es mucho.
412680	413360	¡Ojo, eh!
413780	415020	¡Ojo con los T's, eh!
415340	416140	Es tipo, plá.
416180	416940	¿Qué pasa, gorda?
417260	417960	¿Querés un T?
418720	419420	¿Qué pasa, amor?
419840	420140	Un poco de...
421420	421860	¿T?
422620	423060	¿Así?
423600	424060	No, no.
424120	424780	La rompo.
424940	425680	La rompo toda.
425800	426820	Eso es parte de lo que tengo para contar.
426940	427740	Pero estoy muy resfriado.
427740	429580	O sea, el resultado es que realmente no puedo respirar.
429740	431320	Me traje un rollo de papel higiénico.
431320	432000	O sea, para ser el programa.
432320	434860	Ese es mi estado real en el cual estoy haciendo maga.
435080	436460	Sé que no puedo respirar.
436500	437460	Voy a moquear cada tanto.
437560	440480	Y voy a sonarme la nariz al aire en medio del programa.
440620	442800	Es algo que quería avisarles de antemano.
443700	445300	Después, segundo anuncio que tengo.
445560	448580	Como sabrán, el jueves voy para Mendoza.
449540	452380	Debo decir, ya no son tan malas las noticias.
452580	454000	En un momento, me preocupé.
454500	456680	Compraron muy lento las entradas los mendocinos.
456680	458720	Yo no sé si es algo de Mendoza.
458920	461980	Si es que los mendocinos hacen las cosas a sus tiempos.
462140	463700	No sé si es crisis económica.
464000	465480	No sé si es que son gorilas.
465740	468760	No sé si es un poco de todo lo anterior junto.
469480	470760	Pero yo redije, ok.
470880	475740	Mendoza va a ser el primer lugar en donde seamos 20.
476180	478020	30 agoveros y agoveras mendocinos.
