start	end	text
7680	13560	siiiiiiiii iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii iiiiiiiiiiiiiiiiiiiii
13560	14480	un poco demais
15040	18100	como andan repapi chefs
18700	20600	como andan compatricies
20600	24200	como andan papaello's yasmir xolapios
24200	27180	como andan repapijators
27180	29160	como andan gente como están
29160	32540	¡Bienvenidos, bienvenidas a MAGA!
32900	34740	¿Cómo están? ¿Volvió el pelado con pelo?
34920	41600	Sí, me puse el otro día, me puse nervioso de la cantidad de pelo que tenía.
42340	47280	Tenía demasiado pelo para el que estaba acostumbrado y tuve que reducir mi cantidad de pelo.
47340	53780	No pude soportar el pelo, comprendanme también, soy nuevo en pelo, soy nuevo en el pelo en general.
54300	60940	Entonces me puse nervioso y tuve que atacar mi propio pelo para reducirlo y controlarlo.
61420	65480	Así que ese es el estado de situación en el cual me encuentro como andan ustedes.
65920	72860	Hay unas dos mil y pico de personas que están recién empezando a entrar en la iglesia Gobera.
72940	75720	Están haciendo lugar, están sentándose por el fondo.
75800	80120	Vengan, acérquense, acá adelante hay lugar, hagan lugar, gente no empujen.
80200	83520	Estén tranquilos, por favor, avisame si van llegando audios también.
83520	89060	Si hay uno mandame que lo escucho, como siempre otra vez no lo tengo, no está el cartelito ese.
90240	95220	11-39-39-88-88. Sí, está en mi cerebro, está en mi cerebro.
95520	99500	11-39-39-88-88.
99620	103240	Mientras la gente se va sentando, se va ubicando, nos vamos calmando,
103420	107340	escuchamos algunas palabras de los recién llegados a Goberos y a Goberas. ¿Cómo están?
108260	113640	Uh, Rebordo, yo me acabo de separar y lo único que me la puede subir es este lunes de maga.
113780	118980	Yo soy un craver, full craver igual que vos. Decime algo, loco, me estoy muriendo acá.
119620	123840	Tranquilo, tranquilo, tranquilo, loco. Mira, este programa va a ser para vos.
124260	129720	La comunidad de Gobera, vos, ciudadano anónimo cuyo nombre no me dijiste,
130280	132440	argentino de bien, craver de corazón.
132880	136020	Acá tenés la comunidad Gobera que te va a acompañar en este momento.
136020	140740	Y como bien hemos venido explorando, la perspectiva Gobera de las cosas,
141500	146560	que es la profunda creencia en el sentido, ¿no? Vamos un poquito más atrás.
147540	151680	Nadie sabe por qué existe. Nadie sabe por qué percibe.
152260	156040	Nadie, ninguno de ustedes, ustedes están ahora viendo una pantalla con un pelado con pelo que
156040	160000	la mayoría de las veces grita y está dentro de su casa y ni siquiera saben bien por qué.
160080	163160	Hay 2.500 personas viendo esto y no saben bien por qué, ¿sí?
163160	167300	Si profundizamos ese hilo de no saber bien por qué, tampoco sabes por qué existís.
167580	169760	Nunca nadie te lo va a poder responder fehacientemente.
170020	173500	No es que un día vos agarrás y te das cuenta, ¡ah! por esto existo.
173720	175280	Este es el fenómeno de la conciencia.
175540	179260	Esto es algo que aqueja a la filosofía desde tiempos inmemoriales.
179440	182340	Por eso desde descartes que agarra y anula todo, se cuestiona todo,
182420	185240	hasta decir, bueno, la única verdad que puedo corroborar es que pienso.
185420	189440	Nadie puedo decirme que no piense. Pienso, luego existo, ¿sí?
189620	192700	A diferencia del peronismo o de boca que existe y después piensa.
192700	195520	Interesante eso que les tiré, pero vamos a desarrollarlo después.
195700	197040	Hay algo ahí, confíen.
197420	199840	Todos conjeturamos nuestra propia existencia.
199960	201480	Es el primer milagro.
201640	203840	De hecho, eso es lo que a uno le podría hacer pensar
203840	207620	que en esencia todo hombre es en realidad un hombre sensible de flores,
207720	208980	un creyente, un agovero.
209180	212820	Y a veces se tornan refutadores de leyendas por su propio cinismo.
213200	215560	Pero hasta los más cínicos tienen que creer
215560	218920	porque ni los más cínicos pueden ver los finales de todos los caminos,
218920	221060	porque ni los más cínicos pueden
221060	223980	co-fe-ci-entemente corroborar el porqué existen.
224160	225800	¿Se entiende? Esa gente que te dice
225800	229280	yo creo en la ciencia, en lo probado, en que no hay nada más ahí,
229440	230680	el que te dice no hay nada ahí.
231300	234520	Esa persona, en su hora más oscura, cuando duerme a la noche,
234580	236420	cuando está antes de dormir y está desvelado,
236620	238120	no sabe por qué está mirando el techo
238120	240960	y no entiende por qué sus ojos perciben la realidad.
241880	246440	Como nadie sabe, y ese es el último, el misterio más insondable de todos,
246440	249480	todos somos, en principio, creyentes.
249720	253960	Es como la teoría jovesiana del estado de la naturaleza.
254400	256220	La teoría rebordiana del estado de la naturaleza
256220	258040	es que el hombre es, en principio, creyente.
258240	259620	El hombre, por default, cree,
259880	262380	porque su condición de creencia es mera condición de existencia.
262660	263680	No podés no creer.
263780	267000	Si no crees, tenés que refutar tu propia percepción de la realidad.
267380	271200	Entonces, aunque se hagan los más refutadores, científicitas del mundo,
271380	272280	todos ustedes creen,
272400	274340	porque están dispuestos a despertarse otro día
