start	end	text
0	1080	Música
5000	5640	¡Sí!
7880	9720	¡Mira lo que está esa música sin copyright!
10460	12480	¡Sentí esa música sin copyright!
12580	13840	Fijate lo que está pasando
13840	16640	¡Cómo están Papaeldos!
17240	20320	¡Cómo están Papaeldos Esmircolapios!
20420	22040	¡Cómo andan esas trompetas!
22240	23300	¡Cómo está ese chat!
23600	26360	¡Cómo andan todos llegando las hordas de MAGA!
26580	28000	¡Las MAGA Hordes!
28840	29940	Miami Board
29940	31060	¡Clap! ¡Clap! ¡Clap!
31580	33400	The PIP strikes again
33400	35660	¡La cantidad de mensajes que estoy viendo!
35720	36820	¡Unas 2.000!
36820	39140	¡2.000 agoveros y agoveras congregadas!
39480	40500	¡Nuestro núcleo duro!
40720	41680	¡Los de siempre!
41940	43720	¡Los que siempre bancan The Traps!
44000	45480	¡Los que están bancando The Traps!
45540	46500	Del otro lado de su casa
46500	48440	Está el Jungle men tirándome unos zooms
48440	49340	Porque sabe qué?
49600	51100	Hay un poquito del...
51100	52060	¡Mira quién volvió!
52840	53920	¡Mira quién volvió!
54620	57020	¡Mira quién volvió!
57020	58280	¿Is he back?
59300	61020	¿Volvió ese insane ass...
61880	64340	...flequisher son cruzó, acaso?
64840	65560	¿Volvió?
66140	68300	Wacho, la última vez que apareció
68300	68800	Este...
68800	70800	Es medio Evil este flequillo, ¿no?
71700	73180	Es Evil World
75520	76240	Porque...
76240	77760	¿Saben a qué me hace acordar?
77800	80240	Me hacen acordar a la de Spider-Man, la tercera
80240	81560	Cuando se pone emo
81560	83920	¡Qué mala película!
84160	86260	¡Ay! ¡Qué película rara que se mandó!
86260	88580	Es de Sam Raimi también, la tercera
88580	89680	Es...
91140	91740	Keanu...
92260	93160	Keanu World
94360	95660	Es esa, ¿se acuerdan?
95720	97940	Esa es que es malarda, es malarda
97940	100220	Spider-Man 1 es tope de gama
100220	101900	Película superhero de nuestra generación
101900	104520	Spider-Man 2 es la del Dr. Octopus
105140	106940	Buenísima, ciencia total
106940	108520	Y la ter...
108520	109960	También es de Sam Raimi
109960	111940	Qué raro, Sam Raimi ahí se tiró una
111940	114760	Acá vamos a explorar, dijo Sam Raimi
115380	117280	Y es la que le es Evil, ¿viste?
117360	118180	Y que baila así
121980	123360	¿Qué era la que...
123360	124120	¡Ay Dios!
124540	126700	No hay más lejos de tomas de eso, ¿no?
126960	128020	No hay forma de alejar
128960	130580	Si me paro no entro
130580	132440	A ver, si me paro no entro
136380	140420	¿Qué es eso?
140700	142740	¡Qué mierda es ese paso, boludo!
142740	145040	Yo recuerdo que lo vi
145040	146720	Lo vi de niño, era niño cuando salió
146720	148680	Spider-Man 3 y sentí
148680	150100	Lo que ahora llamamos cringe
150100	152060	Y en ese momento no era cringe
152060	154600	Era solo vergüenza ajena, básicamente
154600	157040	Pero... ¿Pero por qué?
157940	158140	Pues...
158840	160720	Hiper incomprendida, la mejor de las tres
160720	162620	Ah, capaz la tengo que ver de vuelta
162620	164360	Capaz mi plan de hoy después
164360	166780	Me haga hacer ver Spider-Man 3 como el otro día
166780	169060	Vi la Batman de Val Kilmer
169060	170700	Y me pareció mucho mejor
170700	171800	De lo que la recordaba
173100	174760	¿Saben por qué me molestaba ese paso?
175480	177140	Porque la construcción era que el chabón
177140	178700	Se ponía oscuro, era el Spider-Man oscuro
179280	180640	Y era cero malo
180640	182920	Era como solo un poco emo
182920	184960	Y otaku a lo sumo
184960	187060	Era quizás un libertario nada más
187060	188860	Quizás solo era alguien que estaba muy enojado
188860	190700	Dentro pero que el chabón era tipo...
194580	195960	No me acuerdo de la escena
195960	198240	La voy a hacer de memoria, pero no me la acuerdo
211380	212400	¿Qué es eso?
212960	213420	¿Qué es eso?
213420	214040	¿Qué fue ese paso?
214680	216360	¿Qué fue ese paso, Tobi McWire?
216500	217920	¿Eso es Evil para vos?
218540	220360	¿Eso es Evil? Bueno, tengo...
220360	221940	Yo también hoy soy Evil World
221940	223680	Tengo mi flequillo
223680	226440	Y la última vez que tuve el flequillo así
226440	229720	Me puse nervioso, llegué a mi casa y me rapeé
229720	231420	Así que no sé qué hacer ahora
232040	235720	No sé si cortarme o si liberar
236860	239340	Unleash mi flequillo total
241100	242340	Era la otra vuelta
242340	244000	Vos no estuviste Jungle Man
244000	245700	Pero la otra vez hice unas escenas de titanes
245700	248560	No la voy a hacer hoy, no voy a pasar hoy todo el programa haciendo titanes
248560	249720	Aunque podría hacerlo
250900	252900	Pero la otra vez me dijeron unos agoveros
252900	255340	Que me filme que haga unos planos con el fondo verde
255340	257460	Y que ellos pueden de eso editar
257460	259380	Si querés al final
259380	261200	Al final hacemos...
261200	263660	Va a ser el producto más incómodo del mundo
263660	265160	Mira lo que es esto
265160	267640	Mira lo que es el Maga Real Life
267640	269200	El Maga Cuarta Pared
269200	270740	Es una locura total
270740	272100	Para, hagamos una cosa
272100	275580	Al final del Maga hacemos un crudo
275580	277760	De todas las escenas que necesiten para
277760	279860	Mientras yo estoy salvando a la patria en Disney
279860	281060	Durante tres semanas
281060	283520	Que los agoveros puedan construir
