start	end	text
16640	17680	NACIONAL ROCK
26020	28180	Espacio seguido por la Dirección Nacional Electoral
28180	30440	Lo primero que tenemos que estar convencidos
30440	33120	que no somos el país de mierda que dicen ellos
33120	34940	que somos un gran país
34940	37280	Desde el 10 de diciembre el presidente soy yo
37280	38980	entonces el desarrollo
38980	40500	de la política exterior
40500	42540	de la política de seguridad la define yo
42540	44700	y los cambios que tenga que hacer
44700	45800	los voy a hacer
45800	47320	Tenemos presidente
47320	48440	Tenemos presidente
51940	52480	Maza
52480	53660	Tenemos con quien
53660	54720	Tenemos con que
54720	56080	Unión por la Patria
56080	58060	Sergio Maza, Agustín Rossi
58060	60240	Candidatos a presidente y vicepresidente
60240	62260	Lista 134
62260	63200	Espacio seguido por la Dirección Nacional Electoral
63200	66740	Los otros candidatos amenazan con más de evaluación y ajuste
66740	68260	Ni cómplices ni sometidos
71140	73040	Espacio seguido por la Dirección Nacional Electoral
73040	74720	Te propongo terminar con el kirchnerismo
75300	77080	de verdad y para siempre
77080	78720	Este país que te propongo
79420	81220	es el que millones de argentinos
81220	81900	queremos
81900	84360	Es ahora y es para siempre
84360	86320	Cristian Ritondo, candidato a diputado nacional
86320	87420	por la provincia de Buenos Aires
87420	89340	Juntos por el cambio, lista 504
112040	114300	40 años de democracia
114300	115540	Me decía Ana
115540	117900	de las compañeras que recibió su documento
117900	119740	Antes el Estado nos llevaba a la presencia
119740	122300	ahora nos dan un documento e identidad
122300	124240	Ley de identidad de género
124240	126100	Quiero hablar de todos ustedes
126100	127800	que hoy van a tener los mismos derechos
127800	130020	que tuve yo desde el día que nací
130020	132200	y que tuvieron tantos millones de argentinos
132200	133620	desde el día que nacieron
133620	135480	Y esta es la sociedad que queremos
135480	137600	una sociedad de reparación
137600	140040	por todo lo que tuvieron
140040	142020	Hay que pasar hasta llegar a este momento
142020	144040	40 años de democracia
146100	147780	Nacional Rock
170180	171780	La radio pública
173200	174040	The Rock
181020	183120	La pelota lo...
183120	185740	La pelota lo se marcha
185740	188480	Carajo, mierda
188480	191500	Se van a remontar
191500	192940	a la estratófera
192940	194620	Usted tiene que arrepentirse de lo que dijo
194620	196400	Usted se tiene que arrepentir
196400	197440	porque yo no hice nada de eso
197440	199600	Ay, si queréis llorar, llora papi, mami, por favor
199600	200840	No, no, no
201440	201880	Miami
203680	205640	Sin imputables, mano
205640	207640	Solamente que temble el temor a Dios
207640	209620	Y a mí en todo caso
209620	210300	también un poquito
211900	214840	Con 15 pesos me hago alto guiso
217660	219800	Sí, sí, sí
219800	221240	Loco Santi, sí
221240	222960	La cabina, sí, sí
222960	225500	El agite Radio Nacional
225500	227560	Nacional Rock de feriado
227560	229320	No hay nadie en el edificio
229320	231620	y sin embargo, Maga está
231620	233440	en pie, cuando no haya nada
233440	235240	lo único que quedará será
235240	237560	Maga, ¿cómo andan? Papaheldos
237560	239740	Esmircolapios, ¿cómo andan?
240240	240980	Tremendos
241780	243860	Compatriwells, ¿cómo están?
244400	245520	Papa Ordiceps
245520	246780	¿Cómo andan?
246840	248540	¿Cómo están mis amigarfios?
249140	251160	Saludo a las 1400
251160	253520	1500 y pico de personas
253520	255800	Tenemos, como casi todos los magas
255800	257680	de feriado, un público reducido
257680	260080	Nunca entendí del todo
260080	261520	ese fenómeno porque
262760	263960	uno creería que
263960	265680	en los feriados la gente
265680	268000	está más al pedo y está viendo cosas en la casa
268000	269620	Pero le pasan todos
269620	271420	los problemas, hay como una sintonía en modo
271420	273520	feriado que es que, no sé, la gente capaz
273520	275740	está al pedo pero no hace
275740	277580	su rutina habitual, ¿no?
277580	279660	Entonces hace como otras cosas
279660	281820	Me parece una locura total, salir
281820	283820	verse con gente, socializar
284940	285760	Rarísimo, la verdad
285760	287740	Pero bueno, efectivamente creo que también afecta
287740	289360	a los agoveros y las agoveras
289360	291600	Los feriados son jornadas especiales
291600	293420	Yo vengo siempre, no falto nunca, como saben nunca
293420	295580	los dejé a pata y jamás los dejaría a pata
295580	297480	absolutamente nada, así que
297480	299400	siempre cuentan conmigo los feriados, pero tenemos
299400	301400	un público, ese es un público especial
302380	303940	Acá me pone Hector Parodi
303940	306060	el núcleo duro, papá, sí, hemos establecido
306060	307720	Maga ya es un núcleo duro
308700	311140	durísimo, entonces el de
311140	313620	cortado con vidrio molido ya
313620	314940	Ya es
314940	317240	No es duro el Maga feriado
317240	319060	Está mal, ¿viste?
319100	320900	El Maga de los feriados, el que está acá
320900	323140	desde las 8 en punto es complejo
323820	325280	Como me decís, Lisandro
325280	327080	Labastia, tenés mocos, rebordos, sí, estoy
327080	328840	mira lo heroico que soy
328840	331120	La semana pasada jugué infiltrado
331120	333560	¿Y qué pasó? ¿Qué pasó? Caí
333560	335280	Tuve todo el fin de semana
336100	337140	refriado, con fiebre
337940	339640	malestar, tuve un fin de semana
339640	341560	La verdad tuve un fin de semana de mierda
341560	343280	Tuve un fin de semana de mierda
343280	345240	Así que me dice Maxi que hay unos audios
345240	347960	a ver, pásame, pásame que saluda algún agobero
347960	349740	¿Qué haces Tomás? ¿Qué haces papá?
349820	352100	Mal, vos, enfermo desde el viernes
352100	353460	Todo el día de cama
353460	355640	Mañana me pedí bien laburo, pero acá
355640	357640	estoy bancando los trapos en Maga viejo
358640	359460	Dale viejo
359460	361440	Dale papá, lo arrancó
361440	362900	Lo arrancó el agobero
363980	365720	Ronda de aplausos, todo muy bien
366540	368080	Para el amigo que está enfermo
368080	369860	Como yo, holding the traps
369860	372220	Él está holding the traps en su casa
372220	374380	Tiene los traps y los está holding
374380	376020	Y yo estoy acá haciendo el programa
376020	378380	La cantidad de cabello, me des conciertas
378380	379540	Cómo está Medical Hair
380080	382380	Y ya he hablado con Medical Hair
382380	384260	Para Jason Momoa
384260	386340	Board 2024
386340	388300	Establezcamos que
388300	390380	Tengo que admitirles, no estoy terminando
390380	391960	el año mi mayor pick performance
391960	393580	Si bien estoy zape igual
394600	395880	Nunca se duerman
395880	397240	Nunca se duerman
397240	399060	Siempre estoy zape
400140	401260	Tranquilos, porque acá todos
403880	404340	Zape
404340	405420	Mirá lo que es el sudor
405420	407780	El sudor de usar la remera todo el día
407780	408320	Siempre
409580	411860	Mirá lo que es esto
411860	414200	Mirá lo que es el tríceps
414200	415740	El tríceps, perdón, está acá atrás
415740	417120	Mirá lo que es el antebrazo
417120	419240	Siempre tuve mucho antebrazo
420320	421880	Vos tenés músculos de antebrazo
422560	424080	Sabes lo que es que se te pliegue
424080	425040	El antebrazo
426080	427660	Siempre fue muy bueno pulseando
427660	428600	Mirá lo que es esto
429300	431080	Por eso con paciencia
431080	434440	Así y todo, no estoy en mi pick performance
434440	435940	Dudo que llegue
435940	437900	A Jason Momoa Board 2023
437900	439440	Me parece que no llegamos
439440	441700	Pero está todo en pie para el 2024
441700	443740	Y Medical Hair va a profundizar
443740	446180	Para que tenga aún más cabello
447440	448620	¿Cuál era la línea?
449080	451060	Esto es
451060	453940	3-9-3-9-88-88
453940	455000	Ahí está
455000	457260	Tres años me costó nada más papá
457260	458640	Lo logré
458640	460660	¿Cómo andan agoveros
460660	462200	Y agoveras?
464520	465360	Me ponen trabado
465360	466160	Me vuelvo loco
466160	468800	¿Qué recién me conocen? ¿No saben que soy
468800	470960	Una mean machine?
471800	472640	Me extraña agoveros
472640	474740	¿Qué se piensan? ¿Que soy un fofiño?
474860	476920	¿Un fofirado? ¿Soy una máquina de matar?
477240	480500	¿Pero qué? ¿Se empezaron a creer
480500	481440	Que soy un poco de
481440	483340	Insane ass mystic panza
483340	485220	Para compensar la ciencia y la verdad
485220	487060	Pero yo soy una máquina de matar
488080	489180	Pasame audio
490900	492380	Generalmente no puedo ver
492380	494500	El programa porque estoy cruzando
495160	496400	Pero bueno
496400	498380	No tuve una puta inteligencia
498380	499420	No familiar este finde
499420	502580	Y necesito saber si va a dar bunker board
502580	503620	Supongo que no
503620	504940	¿Por qué?
506180	507580	Me da risa
507580	509340	Me da risa que esté
509340	511040	Prederrotada la pregunta
511040	513300	No necesito saber si va a dar bunker board
513300	515180	Supongo que no va a haber pero
515180	517080	Bueno nada loco te mando un abrazo
517080	518900	Quería preguntar
519580	520700	La expectativa
520700	522320	Ya es nula
522320	524400	Ya nadie espera nada
524400	527580	No espero nada de vos y aun así no van a decepcionarme
527580	529040	Reborn vas a hacer algo
529820	530320	No
531500	533160	La verdad que lo voy a venir
534020	535580	Gracias me encanta el programa
535580	537580	Te mando un abrazo
539760	540740	Pasa la rutina
541580	543560	No voy al gimnasio hace dos meses
543560	544840	Estoy muy mal
545600	547480	La semana pasada termine el bague y dije
547480	548540	Mañana voy al gimnasio
550220	551740	Esta semana vuelvo
551740	552960	¿Saben que estoy necesitando?
553180	554800	Estoy necesitando un gym buddy
554800	557560	Estoy necesitando alguien para fallarle a alguien
557560	559200	Viste que cuando vas solo al gimnasio
559200	561020	Te fallas a vos mismo y no pasa nada
561020	562720	Pero cuando vas con gente
562720	564780	No podes fallarle al otro
564780	565440	Lo que hagas
565440	568780	Necesito un gym buddy para construir motivación
568780	571060	En realidad lo que necesito es prepararme para una película
571060	573060	Quiero hacer un largometraje de acción
573060	574720	Quiero protagonizar una película de acción argentina
575540	576580	Y quiero
576580	577380	Retunearme
577380	579680	Quiero una excusa para estar mega tuneado
579680	581920	Yo si le meto fuerte al gimnasio
581920	584200	Soy un monstruo
584200	586260	No saben lo que son mis genetics
588480	589000	Quiero
589000	590240	Te estoy hablando en serio
590240	591860	No saben lo que son
591860	594140	Mis genetics
594140	597160	Mis padres se conocieron en un gimnasio
597160	598240	Mi viejo era fisiculturista
600040	601320	Mi mamá
601320	603100	Maestra de danza
603100	604520	Y después personal trainer
604520	606580	Mis genes son máquinas de matar
606580	609460	Que yo estoy reventando en un sillón
609460	610240	A puro sedentarismo
611100	612580	Con Red Dead Redemption
612580	614380	Y Shingeki no Kyojin
614380	616440	Pero yo le doy un poquito de gimnasio
616440	618080	Y mi musculo absorbe
618080	618360	Es un
620700	621380	Ah
622260	623820	Te mando un saludo a mi novia
623820	625420	Que está en casa con el drucio
625420	627080	Mirando este Insane As Programa
628740	629420	Número 1
630080	631840	Pasame audio Maxi
631840	633180	Hola Tomás, quiero saber
633180	636120	Que relación tiene la Insane
636120	637560	En clasificación de los pumas
638080	640240	Con boca y con masa
640960	642300	Ay Dios
642300	644480	Como me arriesa esta comunidad de berriga
644480	645540	Boludo
645540	647160	Ay estoy re mal
647160	649420	La Insane clasificación
