start	end	text
28220	29620	¡SUSCRÍBETE!
52620	58460	¡Bienvenidos y bienvenidas a este MAGA de Unidad Nacional!
59300	66920	A este MAGA donde básicamente nos vamos a reunir todos los argentinos y las argentinas de bien
67460	70360	para definir el futuro de nuestro país.
70880	76360	Ya es tiempo de dejar de fingir que eso no sucede en MAGA.
77720	81800	MAGA viene básicamente guionando la realidad de los últimos cuatro años
81800	90800	Por más que mucha gente quiera olvidarlo, intentar taparlo, decir que no es así, por más que mucha gente le moleste o no le guste
91500	96800	Con lo cual vamos a asumir el peso de la responsabilidad histórica que pesa sobre nuestros hombros
97640	101000	Hablo de mí y por supuesto de todos los agoveros
101000	106060	Y vamos a hacernos cargo, cargo de este país, cargo de la dimensión espiritual de este país
106060	110600	Después hay gente más preparada y más seria que se está haciendo cargo de los otros aspectos
110600	116640	Pero sin dudas, sin dudas, el alma de la República Argentina depende de MAGA
116640	121600	La hemos ordenado acá semana a semana, hace ya unos buenos tres años
122440	132880	Con lo cual quiero darle la bienvenida a todas las personas que están acá en el chat, como siempre que escriben, que se saluden
132880	141080	Es un programa como siempre en el cual reina el respeto, la mesura, el equilibrio de nuestras opiniones
141080	144680	Yo quiero arrancar con algunas aclaraciones
144680	154120	Durante el día de ayer hubo algunas opiniones mías en Twitter, en la red social Twitter
155800	163580	Que acaso han sido pasibles de generar cierta controversia, como que había algunas personas un poco enojadas
163580	169480	Y bueno, a quién no le puede pasar en una noche de efervescencia, locura y pasión jugar un poquito
169480	175500	Ustedes acá saben, me conocen, los agoveros me conocen y saben la forma agovera de vivir la vida
175500	181260	Que es que yo creo que hay que celebrar siempre que se pueda celebrar básicamente
181260	183540	Cuando uno puede festejar, festeja
183540	188620	Después la vida no le ahorra a nadie situaciones para tenerla dentro
188620	194020	Entonces cuando tengan que venir los pijazos, que vengan, los esperaremos con el culo para arriba
194020	197840	Pero cuando a uno le toca festejar, hay que festejar
197840	203340	Así elegimos vivir la vida los agoveros, no andamos ahí como cagones metiendo el piecito en el agua
203340	209160	Como diciendo, ui, ui, guarda, guarda, guarda, guarda qué, si pasamos de fase se festeja
209160	211020	Y más si salís primero en estas condiciones
211020	212800	Esa es una primera cosa que quería decir
212800	215560	Pero es una diferencia filosófica, mucha gente me pregunta
215560	219100	Uy, te parece, mira, pero si haces eso, mira que después se pierden
219100	223480	Pero ya lo sé, ese es el punto de partida, hermanos
223480	226460	Si no, cuál es la gracia de todo lo que estamos haciendo
226460	229500	Los agoveros hemos venido a la vida para disfrutarla
229500	234120	Le dejamos a los culorrotos esa suerte de especulación permanente y esa mesura
234120	238160	Y esa equidistancia de todas las cosas para nunca jugársela a fondo por nada
238160	242200	Así tampoco no obtienen ninguno de los costos de asumir una posición
242200	244200	Son la gente de las pasiones tristes
244200	247120	Como decía Teodoro Roosevelt en su gran discurso
247120	252260	El hombre en la arena, solo las personas que conocen las grandes derrotas
252260	254280	También van a conocer los grandes entusiasmos
254280	256960	Y eso es lo que vimos casi que todos los apasionados de la política
256960	261060	Yo quiero felicitar por el desbirgue generalizado
261060	264540	Para un montón de liberales, de jóvenes liberales, libertarios
264540	268300	Fue desbirgue lamentablemente para ellos en un sentido metafórico, no literal
268300	272100	Pero siempre hubo una primera vez para tenerla adentro con el peronismo
272100	275040	Y esa es la situación que hoy por hoy nos compete
275040	276080	¿Procesar eso? ¿Qué pasó?
276600	277120	Procesarlo
277120	278560	Es solo una primera vez
278560	279880	Tampoco es terrible, eh
279880	280700	No pasa nada
280700	283580	En la política y en el fútbol hay revancha siempre
283580	287760	Y la Argentina no ahorra posibilidades ni de fracasos ni de chocarla para nadie
287760	290760	Pero mucha gente ayer, y lo podías reconocer por sus caritas
290760	292660	Estaban siendo cogidos de estreno, ¿viste?
292660	294560	Como las ideologías de estreno
294560	295900	Y veías algunas caripas que decían
295900	298020	No puede ser, pensé que no se podía perder
298540	299740	Y perdieron, ¿no?
300400	302580	Igual que nosotros hace dos años, ¿se acuerdan de Carly?
302640	303480	¿Se acuerdan de Carly?
303520	307300	Que ahora es una obrera metalúrgica de 60 años, pelada
307300	309000	Con tatuajes en los brazos
309000	310900	Bueno, Carly fue como una de ustedes
310900	313660	Acá había quineristas recién garchados
314280	316500	Y Maga fue un espacio para recibirlos a todos
316500	318840	Y los que ya estábamos garchados un par de veces antes
318840	323680	Si conocemos un poco el know-how de esa suerte de vejámenes
323680	325240	Le dijimos, venga, venga, no pasa nada
325240	326600	Acerquense y júntense
326600	329460	Ese mismo procedimiento vamos a repetir hoy
329460	332100	Aunque toque desde otros resultados
332100	333220	Vamos a analizar los resultados
333220	336800	Y vamos a analizar sobre todo el impacto espiritual de esas cosas
336800	339820	Sobre mis declaraciones en Twitter que ya he contextualizado
340920	344020	Quiero aclarar alguno de mis dichos porque quizás no se entendieron bien
344020	349400	Generó mucha indignación que yo dijera que
349400	354020	Salir primero en una general con este gobierno de mierda
354580	357940	Es parecidos a cogerlos con la pija muerta
359260	363900	Y esa frase entiendo que pudo haber herido ciertas susceptibilidades, ¿no?
364700	369960	Me interesa que nos preguntemos juntos qué parte de la frase es mentira
369960	371380	Ninguna, ¿si?
372140	373080	Todos lo pensamos
373840	374640	Todos lo pensamos
375500	376940	Peronistas, gorilas, radicales
376940	378340	Todos pensamos exactamente lo mismo
378340	379100	¿Cuál es la diferencia?
379180	380480	Maga lo dice, nada más
380480	383460	Maga es un vehículo de verdades universales
383460	384500	A costa de mí, ¿eh?
384600	385540	A costa de mi rostro
385540	388200	El que pone la caripa siempre y va quedando cada vez más deforme soy yo
388200	390960	Pero yo lo hago para que todos ustedes puedan ser más libres
390960	395260	Yo saco de sus hombros el terrible peso de la responsabilidad de decir lo que están pensando
395260	397120	Para yo comerme los costos de eso
397120	398080	Y por eso soy heroico
398660	400920	Y por eso mucha gente mataría por mí
400920	402360	Por eso soy prácticamente un mártir
402360	403020	¿Se entiende?
403100	404720	Soy un héroe
404720	407360	Lo que quise decir con ese tweet fue que
408320	411000	Si la peor versión del peronismo
411000	412080	¿Si?
413260	416660	Si un gobierno objetivamente malo
416660	417800	Pija floja
417800	419720	Un gobierno eminentemente impotente
419720	425200	Un gobierno que ha fallado en satisfacerle las necesidades a las personas
425200	426600	Un gobierno que...
426600	428360	Un gobierno de mierda
429320	431780	Ganó en las generales
431780	434120	Solo estoy limitándome a decir que
434120	436280	Al menos en este round particular
436280	438800	Es el equivalente a que...
438800	440920	Voy a representar una pija muerta, ¿no?
441140	441500	Así
441500	443840	Es el equivalente a que
444780	445780	Con la pija muerta
447120	450900	Squips, squips, squips, squips, squips, squips, squips
450900	452500	Los cogimos igual
452500	454240	Eso es lo que quiero decir
454780	456780	Y eso quiero que sepan es el peronismo
457320	458760	El peronismo
458760	460480	En su peor versión
460480	461580	¿Cómo dicen ustedes?
461900	464280	No, este es el peor gobierno, la historia
464280	465980	Eso
465980	466480	Eso
467100	468360	Les ganó
468360	469600	En una general
470480	471500	Eso
471500	473440	Les ganó a ustedes
473440	476820	Lo peor que nosotros podemos hacer
477480	478760	El gobierno más
478760	480940	Más tipo helado de...
480940	482260	Cono de helado en la frente
482260	485740	El peronismo jugando contra sí mismo
487220	491360	Que es el equivalente a una gran pija muerta
491360	493280	Les ganó igual, ¿no?
493300	494740	Sí, ese es el primer punto de partida
495420	495980	Rebord
495980	498100	¿Significa esto que la elección está ganada?
498120	499640	No, no, no, no, no, no
499640	501000	Bajo ningún punto de vista
501000	503280	Solo significa que lo que pasó, pasó y pasó para todos
503280	505640	Hay unos seis y pico de puntos
505640	507180	Seis puntos de diferencia
507180	508840	Entre lo que ustedes dicen
508840	510720	Peor gobierno de la historia
510720	513440	Y cualquier cosa que ustedes puedan proponer
513440	514000	Digamos
514000	516240	Y eso es interesante
516240	519000	Como para empezar a analizar un poco lo que sucedió
519980	522120	Es el punto de partida
522120	525060	A mí me gustaría ahora decirle algunas cosas
525060	527080	Con este, este es el marco, este es donde estamos
527080	528960	Todo esto es la verdad, nadie se puede enojar con la verdad
528960	530140	Es la realidad objetiva
530140	532580	Y todos lo están pensando, todos lo están pensando
533280	536320	Me gustaría ahora hablarles a los agoveros libertarios
537080	538380	Que sé que existen
538380	540600	Quiero hablarles por un instante, o sea
540600	542940	Déjenme un poco de espacio acá en el chat
543600	545380	Los convencidos de siempre
545380	547700	Ya ahora no quiero hablarles ni a Peronista, ni a Radical
547700	549200	Yo sé que están todos acá, están todos
549200	552220	MAGA es una gran colección de tribus de todas las partes
552220	554180	Que vienen a celebrar la ciencia y la verdad
554180	556180	Quiero hablarles un poco a los agoveros libertarios
556180	557460	Quiero hablarles una vez
557460	559000	Quiero hablarles en serio
559000	563940	Voy a citar a un gran funcionario macrista
563940	566120	Voy a parafrasearlo más que citarlo
566120	566940	Y decirles
568360	569940	Les hicieron creer
570680	571060	Sí?
571060	573320	Les hicieron creer
573320	576060	Una serie de cosas que son mentira
576640	579720	Yo les voy a decir esto, ya se los dije antes medio eufórico
579720	581360	Ahora se los voy a decir tranquilo
581360	582380	A ver si
582380	584860	Como dice el gran Javier Milei
584860	586240	Es una cuestión de formas nada más
586240	588560	Quizás son formas, yo tengo mis formas pero
588560	590960	Hoy estoy tranquilo porque es un MAGA de unidad nacional
590960	593800	Es una gran convocatoria abierta por el futuro de la patria
593800	594860	Quiero decirles algo
595700	596660	Les mintieron
597320	598860	Agoveros libertarios en particular
598860	603400	No estoy hablando a un oligofrénico de 40 años
603400	605720	Que quiere salir a votar con una motosierra en la mano
605720	610620	Les estoy hablando a pibes de 17, 18, 19, 20, 21, 22, 23
610620	612680	Quizás con un primer acercamiento a la política
612680	614200	Quizás apasionados de verdad
615240	617180	Justamente conmovidos frente a la injusticia
617180	619240	Y con una serie de reclamos y demandas
619240	620860	Que son legítimas y más que legítimas
622340	623300	Son interesantes
623300	624740	Quiero hablarles a ustedes porque
624740	626680	Por algún motivo también los ha convocado a este espacio
626680	628600	Porque han encontrado un montón de puntos de diálogo
628600	629660	Y de identidad de cosas
629660	632620	Quiero decirles con total caridad que les mintieron
632620	634780	Les mintieron, están siendo parte
634780	636640	De un movimiento político
636640	638200	Que tiene una lectura histórica
638200	640540	Que es solo mentira
640540	642280	Es contrastablemente mentira
642280	644500	Es tan mentira como que alguien diga
644500	646420	Que el peronismo ayer no se los garchó
646420	648380	Ustedes ahora están garchados
648380	650260	Y eso está bien, no pasa nada
650260	652140	Todos estuvimos garchados alguna vez
652680	654560	Y volverá a pasar, así es la política
654560	656200	Bienvenidos, si vos no te bancás esto
656200	657500	La política no es por a vos
657500	659120	Eso es lo primero que quiero decir
659120	662020	Al mismo tiempo la política es el mejor lugar para todo el mundo
662560	664900	Es el lugar donde lo humano es lo más pleno que hay
664900	666260	Entonces bienvenidos
666260	668300	Bienvenidos a ser cogidos por el peronismo
668300	671220	Lo que quiero decirles es que les han pintado un peronismo que no existe
671680	672980	Les han hecho creer
672980	674840	Que el peronismo es zurdo
674840	676380	Que es de izquierda
676380	678560	Que es, no sé qué fantasia
678560	680720	O progresista que tienen en la cabeza
681540	683360	El peronismo no es de izquierda
683360	684840	Yo sé que ustedes están cebados
684840	686940	Lo veo todo el día en redes, están solo equivocados
686940	688900	Se los digo ya sin chicanas
689840	691100	Cada vez que uno dice algo
691100	693360	Yo digo algo y me ponen zurdo, zurdo de mierda
694320	695360	No soy zurdo
696080	697360	Que esa sea de mierda
697360	699360	Pero no soy zurdo, muchachos
699360	700600	Progre, hijo de puta
700600	704060	Tampoco soy progresista, no porque crea que están equivocados
704060	705540	Progresismo en un sentido más amplio
705540	706940	Es la vocación de progreso
706940	708180	Siquiera algunos lo discutimos
708180	710660	Pero nunca me identifique con la identidad progre
710660	712660	Por así decirlo, que tuvo su tiempo
712660	714080	Ejemónico-cultural
714660	715780	El peronismo no es eso
715780	718760	El peronismo es un proyecto capitalista nacional
718760	720220	De la República Argentina
720220	723160	El peronismo es idiosincrasia cultural de este suelo
723160	724480	¿Saben por qué se los digo así?
724700	726880	Porque en serio, si no lo entienden de una vez
726880	728520	Van a vivir una vida
728520	729960	De frustración
729960	732600	Con el culo roto
732600	734360	Me bardaron mucho el otro día
734360	736680	Por un clip donde decía van a ver peronismo hasta que se mueran
736680	738160	Y nunca van a entender por qué
738160	740080	Yo sigo pensando exactamente lo mismo
740080	741340	Es impresionante
741340	744920	Pero el sueño gorila de una Argentina sin peronistas
744920	746600	Se renueva por camadas
746600	748360	Les están mintiendo
748360	749720	Les están mintiendo
749720	752260	Cada vez que los convoquen a terminar
752260	753400	Con el peronismo
753400	755800	Sepan que los están invitando a una frustración
755800	758160	Que puede ser más intensa o menos intensa
758160	759980	Pero por definición es transitoria
759980	761840	Porque no te podés enojar
761840	764420	Con la idiosincrasia cultural de tu suelo
764420	765800	No te podés enojar
765800	768240	Es como querer una Argentina sin hinchas de boca
769120	770240	No se puede
770240	772060	Yo tengo muchos amigos gallinas del alma
772060	774060	Muchos que rían una Argentina
774060	776220	Sin hinchas de boca, la desean intensamente
776220	777500	Pero saben que no se puede
777500	779900	Es como enojarse con el sol porque salga
779900	782000	Y si siguen sin entender
782000	783580	El país en donde nacieron
783580	785960	Solo les depara una vida de frustración
785960	787580	Por lo cual les digo
787580	789820	Agoveros libertarios, pequeños
789820	791680	Llenos de ilusiones y sueños
791680	793800	Están a tiempo, háganse peronistas
793900	797260	El peronismo es lo que debe ser
797260	798580	El mandato del pueblo
798580	799840	Por eso muta
799840	801420	No es tan difícil de entender
801420	803000	A diferencia de ustedes
803000	805840	Cuando un peronista pierde las elecciones
805840	807260	Escucha y dice
807900	810060	Evidentemente el pueblo no me está acompañando
810060	812340	Me estoy equivocando
812340	813540	Ustedes
813540	815300	Cuando pierden las elecciones
815900	818400	Hay que atarles los deditos
818400	820360	Porque salen a tuitear como locas
820360	822720	Poniendo este país de negros de mierda
823940	825360	Están a una frustración
825360	826980	De siempre desilusionarse con el lugar
826980	828260	Donde viven
828260	830360	Y esto es metodología peronista de manual
830360	831860	El tema es que no lo saben
831860	834620	Les han pintado un peronismo que no existe
834620	836100	Se preguntan
836720	838400	Yo no nací peronista
838400	839940	Nadie nace peronista
840720	842620	La gente llega al peronismo
842620	844340	Porque llega a las idiosincrasias culturales
844340	846140	Del lugar donde nació
846700	848140	Como sos peronista
848140	850060	Con un dólar a mil, a mil quinientos
850060	851440	Empobrecedor de mierda
851440	852320	La concha a tu madre
852320	854940	Hermano, muchachitos, hay historia
854940	856500	Hay historia
856500	858600	Nosotros venimos de una larga historia
858600	861360	De emancipación nacional y de potencia cultural
861360	863200	Y yo perdón que se los diga así
863200	864840	Porque odio la lógica
865880	867280	Vaya a leer
867280	869500	No es mandarlos a leer
869500	871860	Pero hermano, no hacen ni un esfuerzo
871860	873820	Ni por ver lo que ha sucedido
873820	874440	En la historia de su país
874440	875380	Porque no lo aman
875380	877120	No aman a la República Argentina
877120	879160	Quieren saber por qué soy peronista
879160	880900	Porque es la identidad cultural de nuestro suelo
880900	883560	Es la metodología para liberarlo argentino
883560	885460	Es así, eso puede ser más de derecha
885460	887080	Más de izquierda, más de centro
887080	889600	Pero es la manera en la que hablamos
889600	891480	Es la lengua criolla
891480	893460	Eso es el peronismo, ¿se entiende?
893700	895020	Y puede perder elecciones
895020	897140	Lo que no puede es desaparecer
897140	899260	Siempre que quieran motorizarse
899260	901280	Bajo la pulsión de desaparecernos
901280	902540	Solo van a terminar frustrados
902540	904600	Nosotros no queremos desaparecer a nadie
904600	906480	Es que coexistan los gorilas
906480	908120	Una y otra y otra y otra vez
908120	910040	Y esa diferencia es fundamental
910040	912540	Entonces, ¿por qué soy peronista?
912760	914140	Rebor, pero si no das resultados
914140	916760	Porque tengo la lectura histórica
916760	919000	Los períodos de la historia argentina
919000	920540	Que han coincidido con una expansión
921060	922820	De lo argentino en el planeta tierra
922820	925040	Han sido conducidos por el proceso
925040	925940	Peronista
925940	928440	Es así, en las distintas áreas
928440	930200	Por supuesto que puede pifiar
930200	931260	Pero analizalo
931260	933060	Ciclos de exportaciones crecientes
933060	934920	De industrialización, de laburo
934920	937700	De expansión social, urbana
937700	939320	Si quieren ir antes del peronismo
939320	940940	A mí también me gusta discutir historia en serio
940940	943900	A mí también me gusta Roca
943900	946900	A mí me gusta el período argentino de Julio Argentino Roca
946900	948020	Que se lo bardea
948020	950180	Para mí de más, absolutamente de más
950180	951580	Por lo que han sido las atrocidades
951580	953720	De su gobierno en otro tiempo histórico
953720	956160	Pero el proyecto de la República Argentina
956160	958200	De Roca, fue recontra pujante y potente
958380	960100	¿Saben? Tan potente fue
960100	962380	Que Perón le puso su nombre a los ferrocarriles
964700	965660	Está ahí
965660	968100	La historia de la República Argentina está ahí
968100	969700	Para agarrarla y entenderla
969700	972600	Se los digo de verdad, se los estoy diciendo esta vez con amor
972600	973900	No para que la compartan
973900	975480	Pero aunque sea para que la entiendan
975480	978100	Porque no puede ser que cada cuatro años
978100	979960	Se renueve una nueva camada de ustedes
979960	981440	Más imbécil que la anterior
981440	983280	Diciendo ¿Qué le pasa a este país?
983680	984700	Es una locura
984700	986960	La gente, evidentemente, son unos negros de mierda
986960	987920	Que se quieren cagar muriendo
987920	989160	No, vos sos boludo
990160	992000	Te juro que sos boludo
992000	993560	Te lo juro
993560	996700	Te habrán criado entre cuatro paredes
998300	998780	Embebida
998780	1000720	En una ideología foránea y ajena
1000720	1002100	Donde te repiten una y otra vez eso
1002100	1003820	Y si bueno, evidentemente debe ser así
1003820	1005720	No te digo que votes peronismo
1005720	1008100	Te digo que lo comprendas, que comprendas el fenómeno
1008100	1009300	El país donde vivís
1009300	1011560	Porque si no, toda una camada de personas
1011560	1014100	Que reza, o gobierno yo, o eseiza
1014100	1015580	Bueno, quizá te tienen que ir
1015580	1017560	Pero para que no sufras
1017560	1019860	Si naciste en Argentina y sos sueco
1019860	1021880	Te auto percibís sueco
1021880	1023340	Anda a Suecia boludo
