start	end	text
2160	6820	¿Cómo andan? ¿Cómo andan esos sillasos? ¿Cómo andan Papael dos?
11840	18940	Vamos a arrancar, estoy, claro, esta vez no puedo verme, así que estoy sin lo que sería
18940	23440	el retorno, el retorno antiguo de la radio estoy sin retorno visual, pero me gustaría
23440	28640	arrancar proponiendo una ronda de aplausos clásica, al mejor estilo maga, para las ya
28640	32500	un montón de gente, cada vez hay más gente en maga, es tremendo, nos sentimos ya casi
32500	36940	espiados en nuestro ambiente íntimo, en nuestro espacio natural, cada vez somos más, les
36940	44240	recuerdo que al once, no puedo decir que no me acuerdo, treinta y nueve, treinta y nueve,
44640	50740	ahí está, listo, ahí está, treinta y nueve, treinta y nueve, ochenta y ocho, pueden mandar
50740	56040	sus apreciaciones, sus mensajes, sus reflexiones sobre la realidad nacional, que como sabemos
56040	61060	es completamente estimulante y confusa, ya vamos a hablar un poquito de eso, no sin antes
61060	68880	recibir a todos con una ronda de aplausos, preguntarán por qué, por existir, por resistir,
69100	75320	por aguantar, por ser ustedes cada semana, por seguir encontrándose en este espacio
75320	81300	todos los lunes, por seguir a pesar de todo y de todos, seguir acá, siendo ustedes, me
81300	86880	gustaría arrancar este programa dedicándoselo a un gran agovero, agovero por supuesto que
86880	92900	sin saberlo, porque ante todo era un gran argentino, Ricardo Iorio, que lamentablemente
92900	99800	pasó a un plano metafísico superior, pero es sin dudas uno de los grandes arquetipos
99800	106100	del ser nacional, a mí me... quiero poner en contexto esto y dedicarle aunque sea unos
106100	111980	minutos de reflexión, porque es una figura que después ha tenido como no sus grados
112900	117140	de controversia, de qué se yo qué carajo, lo que sea, pero es alguien que fue siempre
117140	123080	fiel a sí mismo, digamos, independientemente de circunstancias, cambios, procesos, sociedades
123080	127440	y alguien que nos legó lo mejor que puede legar un agovero, que es una obra en vida,
128880	132740	en mi contacto, en lo personal, yo creo que vieron que hay un momento en la adolescencia
132740	136560	donde uno está básicamente definiendo su personalidad y se empieza a encontrar con
136560	141480	algunas canciones de música, algunas canciones en particular, yo creo que el tema se voz
141480	147300	en particular, cuando haber tenido 16 años, me parece que hubo un año de mi vida que
147300	154440	sólo escuché se voz en loop, todos los días de mi vida, todo el día, y eso en algún
154440	159840	lugar te va quedando, yo creo que el 90% de las cosas que hay que saber están en ese
159840	168700	tema, se voz no más que al mundo salvarás, yo sé, dirás, muy duro es aguantar, pero
168700	173620	el que aguanta es el que existe, hermoso, y eso nos juntamos a hacer lunes a lunes más
173620	178160	allá de que nos riamos, de que nos divirtamos con la realidad, maga es una celebración
178160	182060	de la existencia y es una celebración de la perspectiva agovera de la vida, que es
182060	186680	elegir celebrar ahí donde uno puede deprimirse también, no porque uno sea estúpido, la
186820	191280	a veces uno también es estúpido, por qué no, pero uno hace un esfuerzo consciente por
191280	196780	celebrar la vida incluso con la tragedia a cuestas, la perspectiva agovera no significa
196780	201480	ser ciego, no como ponerse ante ojeras de caballo y no ver los problemas de la cotidianeidad,
202860	206860	significa abrazar la vida tal y como es, en toda su profundidad y su complejidad, con
206860	211940	su miseria, su tristeza, su dolor, pero también con su humor, con su ironía, con su felicidad,
212020	216180	con su celebración, con su arte, con su belleza, y después por supuesto que la música de
216320	221940	Iorio podrá ir en gustos, pero yo creo sin lugar a dudas que era uno de los mejores letristas
221940	227340	de la República Argentina, la poesía de Ricardo Iorio solo puede ser escrita por una
227340	231440	persona con un nivel de sensibilidad en el alma, un gran canceriano, como saben, otro
231440	237340	de los grandes cancerianos de nuestro estado nacional y que interpretó las pulsiones metafísicas
237340	243440	de su suelo, también le debo a Iorio haber conocido a José Larralde, yo hice el caminito
243440	249060	al revés, soy de las personas que conocieron a Larralde por Iorio, le debo a Iorio también
249060	255560	la celebración de Alma Fuerte, ustedes saben que el nombre Alma Fuerte viene por el seudónimo
255560	261120	de Pedro Bonifacio Palacios, un político nacional, una persona también que jamás
261120	267560	dio ni un palmo de su alma a ceder y que adoptó el seudónimo Alma Fuerte, yo le recomiendo
267560	274140	a todas las personas que no sepan quién fue Alma Fuerte, que por ejemplo lean su poesía,
274900	280760	Alma Fuerte es autor de mi poema favorito, yo creo que es mi favorito, capaz ahora se
280760	287420	me estará pasando otro, pero es Piu Avanti, no sé si conocen Piu Avanti, pero es un lema
287420	293380	a jamás darse por vencido, un lema a seguir contra todo y contra todos, Piu Avanti puedo
293380	299240	hacer el ejercicio de intentar recitarlo de memoria en homenaje a Ricardo Iorio, Piu Avanti
299240	305520	es el poema que dice, no te des por vencido ni aún vencido, no te sientas esclavo ni
