start	end	text
6300	11920	No pasa nada, así lo hace un profesional, me extraña, cómo están todos, cómo andan
11920	20860	compatriotas, cómo andan papaeldos, esmircolapios, cómo andan papaordiceps, cómo andan otorcedores.
21260	24520	Hay mucha gente que se está equivocando, está tratando de hablar de las hinchadas
25000	30700	brasileiras y se expresan como tocedores. Bienvenidos, bienvenidas a otro MAGA,
30720	34320	como todos los lunes a las 8. Hay gente que me sigue escribiendo y me dice,
34620	39200	pero ¿a qué hora es Reborda?, ¿a qué hora es? Y ni siquiera poniéndote un enlace con
39200	44680	un evento programado te das cuenta que es los lunes a las 8. Lunes a las 8 de la noche es la
44680	48200	cosa más sencilla del mundo. Y aparte, si no les sacaron las fichas hasta ahora, bueno,
48300	51640	lamento que se los diga así, pero me parece que no van a llegar a encajar ningún programa.
53300	62160	¿Cuántos MAGAS quedan hasta el GRAND REX? ¿Tres? ¿Tres? ¿Estamos frente a uno de los últimos
62160	67140	programas, últimos MAGAS de la historia y ustedes no lo están valorando? Les doy la bienvenida,
67160	71860	voy a hacer unos breves anuncios al principio. Como suele suceder, MAGAS de anuncios,
71960	74780	como más les gusta a ustedes, lo que la gente espera, lo que la gente está en la casa diciendo,
75440	81240	loco, hoy habla Rebord, ojalá tenga unos buenos anuncios para dar. Y es así, sucede.
81620	89320	Quiero agradecer a Tucumán por haberme recibido con tanta amabilidad y amor.
90080	97920	Creo que el acento Tucumano es mi acento favorito. Creo que es de los mejores acentos. No sabría
97920	104760	explicarlo bien, pero es un acento autoconclusivo. No, no lo podría imitar, no me sale. No me sale
104760	112100	porque no es un acento musical, no es como el cordobés, no se expande, es autoconclusivo,
112820	118760	termina sobre sí mismo, es muy interesante. Es filosóficamente interesante el acento Tucumano.
119000	124580	Y les quiero agradecer por su cálida y generosa bienvenida. Me trataron extremadamente bien.
124700	129200	Los abordajes más amables que tuve en mi vida fueron en calles Tucumanas. Gente que me pedía
129200	135740	una foto, un saludo, solo saludarme, solo hablar, fueron increíblemente amables. Así que eso es lo
135740	141060	primero que quería decir. Quiero agradecer. De hecho, una señora en Tucumán que me abordó y me
141060	147120	dice, vos sos Rebord, muy amable, muy Tucumanísima, súper respetuosa. No sé cómo entra esa
148820	154240	superamabilidad con apuñalar a tu antecesor político por la espalda, traicionarlo y asumir
154240	158620	o pegarle un Tucumanazo en la cabeza. Pero es como que congenian gran amabilidad y ternura con una
158620	165420	suerte de superviolencia concentrada. Pero una señora me dice, vos sos Rebord, mi hija te ama,
165740	171140	te puedo pedir una foto, sí, sí. Y en un momento ella me dice, lo único que a veces me pasa es que
171140	176460	sos un poco guaso, me dice. Y entonces yo digo, bueno, sí, señora, es verdad, le pido disculpas,
176500	181100	me pasa un poco eso, viste. Es un poco el código de mi programa, no sé. Y después me dice,
181920	189820	igual es cierto que los cogimos con la pija muerta. Y yo digo, oh, oh, oh, damn, señora,
190380	197620	diablo, señora Tucumana, le digo. Pero fue tan, fue tan tierno como lo dijo, que fue directamente
197620	205200	dulce. Así que les agradezco, les agradezco también en el espectáculo unos locos que me lo dijeron
205200	210900	después de la función, que hicieron 600 kilómetros para verme, locos, unas personas de más del
210900	215320	norte todavía, se enteraron que iba para Tucumán y agarró uno, lo convenció para ir en un auto,
215380	223380	hicieron 600 kilómetros, 600 kilómetros para ir a verme en Tucumán. Toma de acá, Taylor Swift,
223600	227660	loco. Mirá lo que es el movimiento agovero, mirá lo que es el agoberismo, papá. Y vos no sos
227660	232100	capaces de sacar una entrada para el Grand Rex en tiempo y forma, pedazo de hijo de puta. Mirá
232100	238440	qué desagradecido que sos. Quiero decirles, bueno, ya que mencioné el Grand Rex, el Grand Rex está
241000	248100	oficialmente agotado, así que primero, gracias. Segundo, felicitaciones, porque el agoberismo no
248100	254460	para de tener triunfos, no para de tener coronaciones de gloria. Oficialmente el agoberismo agotó un
254460	259360	Grand Rex y falta como un mes todavía. Ahí es donde todos los manijas te dicen hace otro,
259440	264560	mete otra fecha, qué sé yo. Pero me extraña, loco, me extraña. Yo nada de lo que hago,
264560	270860	lo hago por la plata. No me malinterpreten, me encanta la guita y estoy juntando mucha plata
270860	276780	y quiero juntar aún más plata, pero no lo hago por la plata. Si a mí alguien me da a elegir entre
276780	281620	la gloria y la trascendencia y el dinero, yo elijo la gloria y la trascendencia. Entonces voy a ser
281620	286140	un Grand Rex porque va a ser un puto evento canónico y así me tomo las cosas que hago.
286560	291280	Si yo doy una entrevista o aparezco en un lugar, quiero que sea especial para esas personas que
291380	295920	están ahí. Y esa es la fórmula del agoberismo en todas sus dimensiones. Ustedes saben que yo
295920	300220	siempre expongo la fórmula de la Coca-Cola. Se lo digo a la cantidad de personas que miran
300220	305060	asiduamente mis programas y buscan imitarlos después. Ahora que está de moda. Hay muchas
306480	313060	líneas Pepsi a esta altura de lo que nosotros hemos logrado. No sé si lo vieron. Pero te das
313060	319080	vuelta y aparecen tres, cuatro programilfos donde de repente se tratan contenidos muy similares. Y
319080	326180	eso está bien. ¿Por qué? Porque nosotros nunca fuimos gatekeepers de ninguna ciencia. No nos
326180	329720	identificamos como personas que le patean la escalera a los que quieren venir. Al revés,
329860	334360	le decimos vengan, crezcan. Siempre y cuando. Reconozcan la paternidad y la conducción.
334940	339200	Entonces le damos la bienvenida a la multiplicidad de formatos que están apareciendo las líneas
339200	342960	Pepsi de todo lo que están. Bienvenidos, bienvenidos. Ya hay lugar para todos,
343140	347340	pero solo hay uno con la poronga más grande. Lo que le quería decir es que me preguntan,
347340	352620	Rebor, Rebor, ¿cómo lo haces? ¿Cuál es la fórmula de la Coca-Cola? Simple. Yo trato cada segundo
352620	359060	de atención como sagrado. Y yo busco corresponderlo sagrado. Lo único que tenemos para dar en esta
359060	364580	vida es atención. Todo lo que tenés son espasmos de tiempo. Todo lo que tenés son segundos frente
364580	369920	al abismo que vos le dedicás a algo. Si vos mirás a los ojos de tu pareja y le decís te amo, es un
369920	374660	segundo único y repetible. Si vos elegís esos segundos para cuidar a tu hijo, es eso. Si los
374720	379740	elegís para mirar una serie, ahí se va tu energía vital. Y si los elegís para mirar maga,
379900	384180	a mí me corresponde brindarte lo mejor de mí. Corresponderlo sagrado es lo único que hago.
384420	389760	¿Qué piensan, que voy a empezar a emitir Rebor sin criterio para empezar a devaluar mi contenido?
390100	395020	No, papá. Mi contenido va a ser sagrado y puro para siempre. Por eso Rebor aparece exactamente
395020	399240	cuando tiene que aparecer y por eso hay un gran REX. Yo le quiero contestar a toda la gente que
399340	404740	está diciendo, pero escúchame, loco, me quedé afuera, no llegué a comprar, ¿qué podemos hacer?
405320	412120	Nada. No pueden hacer nada porque el gran REX tiene una capacidad limitada y yo te avisé como con tres
412120	417840	putos meses de anticipación. Si yo pongo una fecha, papá, la tenés que sacar y si vos especulas,
417980	422620	te vas a quedar afuera. Hablando de fechas, la semana que viene voy a Uruguay. Ahí todavía hay
422620	428960	lugares. Voy a ir a Uruguay. Va a ser la primera presentación internacional del agoberismo. Vamos a
428960	433660	ver qué sucede en Uruguay. Es el miércoles que viene. Voy a estar en Uruguay. Acá The Jungle Man en
433660	438540	la sala. Ya me está poniendo un enlace para que puedan comprar las entradas si es que son uruguayos
438540	443320	o si es que alguno de ustedes desesperadamente quiera cruzar el charco a nado para ir a ver una
443320	448520	de las últimas presentaciones que quedan de este año. Para que se me fué el chat acá y me gusta
448520	455760	leerlo cada tanto. Acá me ponen falacia ad agoverum. Ya vamos a empezar a hablar de eso. Fecha
455760	461040	Uruguay, Grand Rex. ¿Tenés algún audio para pasar? A ver, pásame, que lo escucho. Rebord,
461160	466960	entiendo la lógica de no grabar ningún rebord de esas cosas, pero dale. El de Grand Rex grabámelo
466960	472260	que si no me lo pierdo. Me comí el garrón, no te encontrá. Grabátelo, dale, que es histórico.
472500	485740	Abrazu. No, no lo voy a grabar. Lo que sí estuve pensando un poco es que hay un circuito ya
486340	491620	estoy para grabar uno y que quede. Y ahí sí, debería grabarlo en algún lugar donde no haya
491620	495800	ido nadie antes, así es nuevo y las reacciones son genuinas. O tener un público cautivo,
495880	500900	mercenario y comprado para que reaccione con mucha fusibilidad y risa frente a cada cosa. Ese lo
500900	505180	grabamos, lo empaquetamos y se lo vendemos a alguna plataforma, por supuesto la que más pague,
505400	510780	de manera completamente capitalista y explotando nuestro contenido al máximo. No, el Grand Rex y
510920	516180	algún registro haremos, pero no me gusta, no quiero grabarlo. Ahora me puse pesado. Me puse
516180	521800	pesado con mi arte como el cantante de Tool, que estuve aprendiendo durante el fin de semana,
522180	526180	que no quiere ser grabado. Vieron que hace recitales para que sea solo una única experiencia
526180	531600	irrepetible vivo y no se graba. De hecho, hay todo un recital que graban solo al batero porque
531600	540160	está haciendo un chivo para los palos y el otro está en sombras. O sea, es así de pesado. Es
540160	547300	mi arte tan sagrado que no será registrado jamás. No, yo no llego tanto a eso. Acá me van a preguntar
547300	554800	más cosas. ¿Vas a grabar o no el debate? ¿Qué más tengo? Ah, tengo un último anuncio. Tengo
554800	558140	un último anuncio y ya nos metemos un poco en los temas de la semana que la verdad hay un montón.
558300	563680	Recién acá me dijeron en Tucumán, descogieron a Rebord. Yo la semana pasada estaba muy cogido. No
563680	567920	fue solo Tucumán, pero Tucumán fue clave. Tucumán me hizo muy bien al alma. Me recomendaron mucho
567920	574600	leer el libro de Hobbes de la Biblia y es muy bueno. O sea, hay niveles de hay algo ahí
574600	579860	poderosísimos con un nivel narrativo tremendo. Comprendí también que uno de los mayores pecados
579860	585520	posibles es pretenderse justo frente a los ojos de Dios. Entonces ahí dije, claro, mira, es un
585520	591080	pecado de arrogancia. ¿Quién sos vos para determinarte justo? ¿Quién sos vos para medir el
591080	596060	criterio y los estándares de Dios bajo medidas humanas? Aprendí mucho de eso y voy a utilizar
596060	600100	gran parte de esos recursos. Así que eso me sirvió mucho. Me sirvió mucho las recomendaciones
600620	605360	literarias de mis queridos agoveros y agoveras. Ya pronto los explotaré. Me gustaría hablar de esas
605360	610720	cosas, pero bueno, urgen otras necesidades urgentes en la República Argentina que también tenemos que
610720	615720	atender. Pero ese libro sin duda tiene unos poderes, tiene unos niveles de hay algo ahí que me gustaría
615720	621260	transmitir entre eso. Tucumán, un poco del mero paso del tiempo, un poco de descanso también que
621920	629360	necesitaba. Pude recalibrar un poco mis chacras, mis energías agoveras para poder brindarles lo
629360	636240	mejor de mí, lo mejor de mí. Tomé una decisión también. Como estoy en estado de eterna mutación y
636240	640260	ustedes saben que yo me voy transformando con el paso del tiempo, de hecho todavía ni se imaginan
