start	end	text
25180	27840	Así, de este lado, ¿no?
27840	30160	El costado, o...
31380	31820	Al...
33120	34000	Ok, ahí.
34640	35420	Puta madre, oro.
37220	38100	Eh, ¿cuánta?
38440	38880	¿Cuánta gente?
39120	41780	Me das una mano, no sé si estamos
41780	44000	saliendo, si se escucha, pero...
44000	45760	¿Cuánto? ¿Cuánta gente hay mirando?
46160	48360	Casi 28.000, casi 30.000.
48560	50040	¿Casi 30.000? Uy, por Dios,
50100	52020	gracias a Dios. Bueno, por un momento me asusté.
52080	53840	Pensé que iba a tener que aprender a...
56980	57420	¡Ah!
57420	58100	¡Dios!
58600	60060	¡Qué instrumento horrible, boludo!
60520	62860	Por un momento temí seriamente que iba a tener que empezar
62860	64700	a hacer, eh, o oficios,
64980	66660	o aprender cosas que sirvían de verdad,
66940	68840	pero no. Afortunadamente,
69400	71100	hay casi 30.000
71100	73120	personas, eh, mirando
73120	74980	esta emisión, mirando
74980	77400	este maga. No sé qué era ese elemento extraño
77400	79340	que tenía en las manos, la gente insistía en que
79340	81380	aprendiera a usarlo, eh, tomé contacto
81380	83200	con eso, pero quiero asegurarle a todos que estoy
83200	84700	bien. Estoy bien,
84700	86840	estoy sano y salvo.
87160	89040	Bienvenidos, argentinos
89040	90900	de bien, a la primera
90900	92660	emisión de lo que van a ser
92660	94760	los próximos cuatro años. Bienvenidos
94760	97000	a basta, Tommy. Bienvenidos al formato
97000	99160	definitivo, bienvenidos a cómo fuimos
99960	100560	evolucionando
100560	103000	de a poco y lentamente para alcanzar
103000	104940	una forma final. La gente que ya me
104940	106820	conoce hace varios años sabe
106820	108760	que he ido mutando conforme
108760	110920	a los años, y ahora los invito
110920	113500	a ver en vivo el nacimiento
113500	115500	de mi última forma, que es
116320	117400	Opposy Board.
118520	119880	Yo no sé
119880	121680	si sienten
121680	123320	eso que está en el aire,
123720	125660	nos rodea, está entre
125660	127720	nosotros, es en
127720	129580	la, en la 2 de
129580	130160	Avengers,
131820	133400	en la número 2 de Avengers,
133880	135360	que el enemigo es Ultron,
136180	137660	hay una gran frase de Ultron
137660	139680	cuando se libera de sus ataduras
139680	141560	y dice, ya no hay
141560	143160	las cadenas que me atan,
143200	145460	eso que sienten es la
146220	146900	libertad.
147320	148820	Estamos definitivamente
149560	151420	bienvenidos, bienvenidos a la
151420	154040	horrible, horrible libertad.
154300	155720	Esto es Tommy
155720	157360	básicamente, basta Tommy, Tommy
157360	159240	Unchained, Tommy
159240	161580	sin cadenas, Tommy absolutamente
161580	163360	liberado. El primer anuncio
