start	end	text
1620	9220	¿Sienten eso? ¿Sienten eso, compatriotas? Es música sin copyright y es la última vez
9220	16100	que la van a escuchar, así que bailen, bailen, vibren un poco frente a esa música sin copyright
16100	22380	y ahora lo que voy a pedir, ahora lo que voy a pedir es silencio total, un momento de silencio
22400	34880	total para dedicar el último gran aplauso colectivo a este ciclo. Bienvenidos y bienvenidas al último
34880	39660	MAGA, ronda de aplausos que son las ronda de aplausos para las personas que no los conocen,
39920	46300	momentos donde certificamos nuestra existencia y la celebramos. Ronda de aplausos por estar acá,
46620	52380	por estar del otro lado, aplaudan en sus casas, hijos de puta. Quiero verlos aplaudir en sus casas
52380	61740	por última vez, hijos de puta. Bienvenidos y bienvenidas. Yo sé que les cuesta entender esto
61740	67460	a muchos de ustedes porque, a ver, quiero que sepan algo. Estoy recién llegado de Uruguay,
67820	73980	acabo de ir a chequear mi última guarida fiscales y me vine directo, o sea, bajé del buquebus y vine
73980	79640	a Radio Nacional. Estoy completamente uruguayeado. Entonces, claro, yo anuncié que hoy era el último
79640	84560	MAGA y de repente me empezaron a llegar mensajes. Gente preguntando, ¿cómo no? ¿Por qué es el
84560	91240	último MAGA? No, te levantaron MAGA. Amigos, amigos me decían, boludo, che, ¿qué pasó? ¿Por qué no hay
91240	97220	más MAGA? Y le dije, porque me quiero ir de vacaciones, boludo. ¿Por qué no hay más MAGA?
97400	105440	Porque no quiero trabajar, porque lo anuncié en marzo. O sea, yo entiendo que las cosas escalaron
105440	110740	de proporción en el último tiempo. Pero ¿para qué mierda me esfuerzo en darles un calendario a
110740	116800	gobero, en decirles cómo van a ser las fechas, en que la semana que viene es el Gran Rex? ¿Para qué?
116800	122720	¿Para qué les doy todo el mapita para que después se sorprendan como los chupabergas del canciller
122720	129440	que agarraron y pusieron, sorpresa, último MAGA? No, papi, vos ves, los chupabergas del canciller
129440	134640	ven los MAGA hace tres años. No es una sorpresa. Era en cualquier escenario este el último MAGA.
134640	140280	Lo anunciamos hace como tres meses. ¿Por qué? Porque Rebord tiene que hacer su gran silencio
140280	146820	de verano. En la semana que viene es el Gran Rex, y yo desaparezco. ¿Por qué desaparezco?
146980	155240	Porque soy un vago. No, no. ¿Cuántas veces hablamos esto? Soy el argentino que más trabaja
155240	162800	en el país. Pero como yo condenso, ciencias y verdades tan poderosas que a cualquiera de
163060	168220	ustedes los mataría. Cualquiera de ustedes en esta silla muere. Yo se lo quiero avisar,
168280	172900	porque hay mucha gente diciendo, uh, ahora vengo yo después de Rebord. Papi, esta silla,
172980	179560	esta silla, mira, esta silla es acá. Esta silla para Brasesco, Brachesco, los sillasos. Esta silla
179560	187260	te mata, papá. Esta silla te envejece. ¿Ustedes por qué creen que parezco de 50? Yo soy del 93.
188220	192900	Tengo 30 años. ¿Por qué creen? O sea, ¿de serio creen que todo esto es un accidente? ¿Creen
192900	199100	que parezco de 50 años? Porque, ay, Rebord siempre pareció más grande. Eso es la verdad, boludo. Es
199100	204840	la máxima ciencia. Te va adrenando el espíritu. Entonces, la única forma de condensar esos niveles
204840	212000	de ciencia y verdad son con grandes letargos donde yo me encierro en un capullo de máxima ciencia y
212000	218260	verdad y muto, hago una metamorfosis rebordiana para el año que viene. Ahora se viene el gran
218260	222300	silencio del verano. Lo único que falta es que festejen el gran silencio. Voy a decir,
222300	226380	me voy a ganar el silencio del verano. Son tan fáciles, muchachos. Pásame audio, Máximo.
226400	230800	Pásame audio, que hoy es el último programa y los quiero escuchar. Pásame audio. Ronda, aplauso,
231080	237520	bol. Te amo. Te voy a extrañar un montón. Hijo de puta. Yo también te voy a extrañar de una
