start	end	text
21760	29980	ahora sí me confirman tenemos aire sonido claridad y nos hemos encontrado
29980	38160	otra vez en este encuentro semanal lunes 20 horas que es maga me gustaría arrancar con
38160	42460	algo importante para todos pero particularmente para mí vamos a hacer una ronda de aplausos
43240	59960	pero una ronda aplausos a mí por haber hecho el método que estrenamos ayer así que vamos a
59960	66700	aplaudimos es una nueva forma de conjugar un aplauso colectivo me aplaudimos estoy
66700	75260	exultante de felicidad con el método estoy increíblemente feliz feliz no sé ustedes
75260	81340	cómo lo vieron ayer si quieren hablamos un poco de eso igual maxi estemos atentos
81340	88900	audio soy que quiero conversar en general con con agoveros y agoveras 11 39 39 88 88 si tienen
88900	94040	preguntas interpretaciones análisis lo que sea vayan tirando ahí vamos a ir conversando a lo
94040	99980	largo de este encuentro como todos los lunes básicamente quería decirles sobre el método
101240	107260	el método de ayer ya lo saben la mayoría de los que vienen acá maga los conocidos de la casa fue
107260	113520	un sueño personal no o sea un sueño para mí fue hablar con uno de mis ídolos básicamente y eso
114200	122120	muchísimo o sea lo que se te juega y es un montón me pasó también que cometí un error que es haberlo
122120	129060	visto en vivo o sea creo que en algún punto estaba tan feliz que me puse a ver el episodio
129060	135260	a medida que se estrenaba y por ende me puse a leer el chat que es algo que nunca hago nunca
135260	141980	hago y ayer recordé porque había dejado de hacerlo es porque ustedes son muy malitos eso
141980	150200	eso es una cosa de la que quería hablar por algún motivo el chat el chat en vivo el método es un
150200	158280	lugar muy hostil son como muy malos la gente está muy enojada y yo estaba tan feliz con el
158280	162420	método estaba tan contento con cómo había salido y sólo tenía como opiniones buenas y sensaciones
162420	168620	buenas que cuando me puse a verlo y los comentarios tienen como un nivel de odio que yo digo wow
170180	181900	porque miren esto porque son son tan malos tu peor error me dice acá kill pero son son muy
181900	187080	malos son muy malos y acá me dicen maximiliano panza fernández perdón tomás es que fue una
187080	195660	goleada no yo fui feliz yo estoy súper contento con cómo salió hasta que empecé a verlo y todos
195660	206640	los comentarios eran reward está muerto mira como dolina está escupiéndolo en el piso mira
206640	213180	como o sea hay como toda una fanfiction paralela al método cuando se estrena que yo digo boludo
213180	220620	esto es esto es increíble mira como dolina está penetrando analmente a reward contra su voluntad
221440	230880	qué están viendo que hacen cuando ven el método qué les está pasando cuando ven ese formato yo
230880	237680	yo sólo estaba feliz es un lugar de odio es un lugar de odio el chat del método es muy
237680	242840	distinto el chat de maga de hecho que goza de peor prensa es súper feliz el chat de los
242840	248640	agoveros es no es como acá cuando agarran y dicen baka borde hay chistes y es feliz ahí todo era
248640	260980	como está muerto reward está muerto por qué estoy muerto sadboard pensaba yo está mirando
260980	270040	decía no estoy contento la está pasando re bien y aparte un montón de momentos tipo escenas favoritas
270040	273800	mías en el método que yo recordé decía u esta parte está buenísima y cada vez que dolina
273800	284400	lo mató está hablando cuando se convirtió en eso el chat del método que ya venía pasando es
284400	291800	un montón y yo dejé de verlo lo dejó pedaleado en el aire es todo común es todo el stream es
291800	301160	agarrar la pala 100% es todo reward recula en chancleta porque es una conversación no yo
301160	309180	estoy súper feliz yo estoy súper feliz la pasé espectacular hay audios pasame pasame max y así
309180	318780	los escucho como rebord clavaba el puñal sobre dolina y fue alejandro quien lo agarró y se lo
318780	325480	clavó al dolina que rebord siempre admiro después empezó una charla hermosa hermoso método muchas
325480	333320	gracias por el mensaje gracias por el comentario no genuinamente estoy súper feliz por el método
333320	339040	estoy completamente contento es algo que bueno es eso es un logro personal es un sueño cumplido
339040	346480	un sueño en realidad pasamos a otro audio pasame pasame la verdad que me fumé dos horas de charla
346480	353260	con el viejo ese esperando a que lo asesines y no sucedió así que ahora estoy esperando la
353260	359640	parte donde llega eso pero bueno nada más allá de eso te felicito estuvo increíble y comparte
359640	365900	tu felicidad papá para su grande gracias amigo gracias no descubrí varias cosas sobre mí mismo
365900	372140	viendo eso que es que una es que estoy he crecido un poco estoy un poco más grande estoy mejor bueno
372140	378200	ya lo saben me curé y por eso no hago más terapia se acuerdan se los conté hace unos programas mi
