start	end	text
4620	12220	¡Sí señor! ¿Viste lo que fue esa transición en el live que metió The Jungle Man?
12540	22060	La acabo de ver, ¿viste cómo aterrizó? Ese difumado de video de 15, de esos super
24320	29420	¡Mira lo que es eso, papá! Cuando los efectos eran buenos,
29440	33620	ve lo que son las transiciones. Te pones a ver las viejas de Star Wars y George Lucas
33620	39200	mete eso al palo, ¿viste? Barrido de costado, zoom, barrido de arriba,
39720	46260	barrido vertical. Eso es edición, papá. ¡Mira lo que es esto! ¡Me vuelvo loco!
46540	52040	¡Mira lo que es The Jungle Man! ¡Gracias Jungle Man! ¡Gracias acá la gente! ¿Cómo andan?
52860	60680	¡Papa Eldos! ¿Cómo andan? ¡Pappinsons Crusoe! ¿Cómo andan? ¡Papirris! ¿Cómo andan?
60740	65780	¡Papa Eldos Esmircolapios! ¿Cómo andan compatriotas? ¿Cómo están acá? ¡Tato
65780	69240	Tipo estaba leyendo acá el chat mientras todavía no llegaba con las transiciones!
69740	73760	Leía que decían, eh loco, nos robó ya ocho minutos esto. ¿Y ustedes qué estuvieron
73760	77940	haciendo, hijos de puta? No eran ni mil, ni mil serás mil personas si quieren que
77940	81800	arranque. ¿Por qué no juntan un poquito de número? ¿Cómo andan? ¡Papirris!
81800	90420	¿Cómo andan? ¡Pappersons! ¿Cómo andan? ¡Papa Ordiseps! ¡Papa Ordiseps! ¿Cómo andan el
90420	100920	Papa Ordiseps? ¡1139398888! ¿Me pueden decir cómo están? ¡Pic Cinematics!
101080	106260	Dice acá David Maury. Recuerden que en YouTube tenemos un poco más de delay de
106260	111540	lo que había antes en la otra plataforma que hemos olvidado. Nunca
111540	117100	porque hay un poquito más de delay en esta plataforma que hemos elegido para
117100	122520	transmitir y eso a veces atenta contra su frescura, no la mía. A mí nada me
122520	127860	perturba, nada me saca de mí. ¡Focus! Dicho sea de paso, estoy alcanzando niveles
127860	133580	de peak performance absolutos ahora que arrancó el otoño. Estación porteña por
133580	138180	excelencia. Podemos escuchar otoño porteño de Piazzolla. Volví al Jim
138300	144980	Beiro Adams. Volví al Jimbo Slice. Me estoy tirando unos Insane Ass Tubes
144980	150240	mientras vengo para acá, así que estoy energizado, feliz y hoy estoy
