start	end	text
3960	13480	Como dicen que les va estimadisimos compatriotas, como andan papas, oh, oh un momento, un momento
13480	20000	parece que hay alguien más en el estudio, acaso es, acaso es, vino mi amigo Tincho,
20780	28760	lo tienen al Tinchin, lo tienen a mi amigo Tincho, que, que dices Tincho, que, que estuvieron
28760	36460	diciendo algunas cosas de mi, my Tincho friend, para, para Tincho que, para que el peso de mi
36460	44020	propio éxito no me deja escuchar bien, para que, a ver ahí si estoy un poco más, no, no loco,
44180	51980	todavía no escucho nada, a ver Tincho, ah, ah mira, así que hay gente diciendo pelotudeces,
52440	58000	saben cuánto pesa el Martín Fierro, nosotros lo sabemos manga de hijos de puta, si sos
58000	63480	agovero suma una estrella, te acordas la estrella que teníamos, cuánto premio llevamos ya, el
63480	73120	éter, habíamos ganado, éter 2021, Martín Fierro, es pesadito les quiero decir, es pesadito el
73120	80760	fierro, yo pensé que era cosa mucho más berreta en general, pero tiene su pésing son, y todos
80760	85920	los agoveros lo conocen hermano, porque un premio para acá es un premio para el agoverismo
85920	91040	internacional, así que si sos agovero, así como tenemos una estrellita por el éter antes, suma
91040	95700	otra estrellita carajo, porque tenemos dos estrellas manga de hijos de puta, y esta es la de mi amigo
95700	101200	my friend Tincho, advierto a la comunidad, esta semana hago mi tour de la victoria, voy a ir a
101200	108640	todos los medios con mi Tincho, with my Tincho, voy a estar mañana en par en la mano, anuncio
108640	113940	importante, estas luces me ponen muy amarillo, soy como una suerte de Simpson, quiero otra
113940	121220	tonalidad, perdón, producción, gané un Martín Fierro, no soy cualquiera, le pido por favor a the
121220	129540	jungle man, que cuide mi imagen, y que de alguna manera ponga esto, no sé, en un light bluish,
130440	138260	algún otro tipo de brillo, no, demasiado, jungle man, jungle man, es como en top gun maverick,
138260	146840	jungle man, lo hiciste de nuevo, jungle man, estimadísimos compatriotas, esta semana voy a
146840	155660	estar el martes en par en la mano, el miércoles voy a ir a lo de Navarro, y el jueves voy a lo de
155660	167540	Azaro, el jueves, gran semana para que me haya quedado el compromiso de ir a lo de Azaro, el
167540	176640	motherfucking tincho man, the tinch machine, si, llevo absolutamente todo, y que voy a hacer,
176760	181100	no tengo mas que agradecer, ahora les cuento si quieren la historia del Martín Fierro, pero
181100	191060	antes me parece que tengo que dedicar unas palabras a un tema serio, todos saben que
191900	198040	vivimos unas jornadas excepcionales en el agoberismo, una nota con el puto presidente
198040	204200	de la nación, es una cosa importante, hermano, verdaderamente importante, y por supuesto yo que
204200	211040	dije, yo dije, esta va a ser una semana de bardo, voy a prepararme en los términos de lo que quiero
211040	219520	como prever, voy a prepararme, entonces que agarre, fui a tramitar mi pub para tener mi pub al día,
220520	224660	recuerdan, si no recuerdan, les pido a los nuevos agoveros que vayan preguntándole a los viejos
224660	230000	agoveros y agoveras y vayan actualizándolos, entonces yo dije, voy a la oficina, voy a tramitar
230000	235620	mi pav al día, que este todo, no sea cosa que alguien me diga, che loco, vos no podes hacer la
235620	242060	nota a un presidente de la nación, entonces pav al día, después que dije, que onda la comunidad
242060	250340	homosexual, que onda with the gays, entonces yo dije, no quiero tener trouble with the gays,
251420	263940	entonces agarre y dije, bueno, voy a renovar mi gay card, credencial, pub, gay card, hablé con mis
263940	268160	amigos homosexuales, miles y miles de amigos, le dije, che loco, está todo bien, mira, voy a hacer
268160	274880	esto, necesito un poco de gay powers, escuchate el último Miley Cyrus entero, discasso, discardium
274880	280720	leviosa, me encantó, me parece fascinating, flowers, entonces, estoy al día, yo dije, bueno,
280720	285540	estoy bastante sólido, estoy bastante sólido, pero acá, claro, cachivache en el chat, ya estoy
285540	292220	viendo lo que me está diciendo, que pasó, me olvidé, me olvidé de un permiso que no tramité,
293100	298580	y me puse a pensar un poco y tengo que hacer también, agoveros y agoveras, una autocrítica,
299460	307580	porque es real que yo estoy últimamente insistiendo en despertarme como varón,
309620	314840	es real, o sea, no están mintiendo, es cierto que soy un hombre,
316920	322160	y un poco me lo puse a pensar, dije, qué hijo de puta, loco, la verdad que, y a veces me despierto
322160	330700	y digo, a ver, chequeo, digo, sigo teniendo un pene gigantesco, y entonces yo a veces me despierto y
330700	343960	digo, diablos, si tan solo no tuviera esta massive nutria, si tan solo no tuviera este dead baby,
346880	359000	si tan solo no tuviera este massive, insane ass dick, colgando de mis legs, de mis piernas,
359100	368200	y es tan grande, y yo digo, ¿por qué? ¿Diablos por qué? Why? Why? God damn it, why?
368200	372280	¿Por qué de todas las opciones tenia que ser tan masivo?
374060	382600	Y tengo que hacer una autocrítica, tengo que re-decir para, loco, no está bien, it's not ok,
384000	389400	no está del todo bien, o sea, es real, es real, yo todos los días insisto en ser como nací,
392500	397040	yo sigo, es muy loco que un últimamente sea tal de eso, porque no era eso justamente lo que se
397160	404920	quería, que nadie se ha juzgado por quién es, pero es verdad que yo todos los días insisto en
406420	412500	despertarme como fui toda la vida, y eso es un poco de hijo de puta, es verdad, hay que decirlo,
412540	418260	así que he decidido, o sea, haciendo una autocrítica, y quería anunciarlo acá en
418260	426620	este espacio, que tomé una decisión valiente, y es que a partir de ahora también voy a ser mujer.
429060	434160	Es algo que estuve pensando hace un tiempo, y quería anunciarlo acá para que lo sepan
434160	440340	agoberos y agoberas, que a partir de ahora yo también soy mujer, soy mujer, y por ende también
440340	448840	quiero que lo tengan en cuenta, entonces lo que le pido a mis congéneres es honoridad. Amigas,
449360	456080	my girls, yo ya tengo pava al día, tengo gay card, y ahora he decidido ser mujer, y es verdad,
456080	461480	es valiente, es difícil, claro que difícil, pero si las cosas no las hiciéramos solo por su
462160	471740	dificultad, no seríamos valientes, y saben qué, nos tenemos, nos tenemos en esta lucha,
472280	476200	así que quería avisarle a toda la gente que está dudando de si yo me iba a animar o no,
477340	485080	te abrazo hermana, yo también, te abrazo también, y lo único que digo es, si la gente se está
485080	489980	puteando en redes sociales y está peleando, loco, un poco es honoridad, si alguien ahora agarra y
489980	495460	se reborda, es un hijo de puta, díganle, mira, por favor, te pido que hables con propiedad y que
495460	505680	te refieras a ella como la hermosa señorita calva que es, y sabes qué, ser mujer no tiene nada que
505680	510320	ver con la genitalidad, así que puede tener un pene enorme también, así que habiendo aclarado
510320	516560	eso quiero que la gente tenga en cuenta que a partir de ahora tengo gay card al día, tengo
516560	524100	pub, y tengo también, ¿hay audios? ¿Qué hay de audios? No, para, para, no puedo creer que rebordes
524100	530140	hombre, está jodiendo, yo te veía porque sos pelado, pero ahora que sos hombre, parece que
530140	536520	voy a cancelarte. Compañero, compañero, compañero, entiendo la confusión, pero te pido por favor que
536520	544020	no seas prejuicioso, yo soy mujer y a partir de ahora soy hermosa además, eh, soy una beautiful
545560	550160	girl calva, y quiero que se me respete, loco, porque si no la verdad que están siendo muy
550160	557520	pocos auroras, quiero que, quiero que respeten un poco mi autopercepción, loco, soy, soy una mujer
559780	564340	valiente, ¿cuáles son tus privilegios? Tomás, ¿sabes cuáles son tus privilegios como varón? No,
564340	572480	porque soy estigmatizado y discriminado por ser mujer, y yo creo que tienen que felicitarme por mi
572480	578680	valentía también, o sea, he vivido, tengo todas las discriminaciones posibles, tengo, me dicen
578680	585680	periodista, tengo gay card, y soy mujer, soy un emblema de lucha, hermano, y honestamente espero
585680	591020	que a partir de ahora todas las personas que no me consumían solo por el hecho de ser varón,
591020	596720	y básicamente nunca pretenderles haberles ofrecido un contenido feminista, no, o sea, porque yo,
597260	604240	ah, que iluso de mi parte, que ilusa fui, porque yo que creía tipo, no, bueno, no me voy a meter en el
604240	607320	feminismo, porque el feminismo claramente no es lo mío, y cualquiera puede ver que mis contenidos
607320	611420	están de otra cosa, entonces alguien quiere consumir feminismo, y ese tipo de discusiones puede hacerlo
611420	620380	en los referentes y las referentes que corresponde, gente que trabaja estos temas con seriedad y
620920	627540	privilegios haciendo un contenido que solo era lo que yo puedo brindar, que egoísta de mi parte,
629740	634300	que hétero, ah, posta, me acuerdo de cosas de mi pasado, de antes ser mujer, y la verdad que me
634300	638440	da hasta como un poco de vergüenza, viste, es increíble lo que uno cambia, y a veces pienso en lo que
638440	648700	hacía, yo decía, ay, hétero match, acaso vas a ser un maga y hablar de footboard, pa' aquí, así que eso
648700	654640	cambió, eso quedó en el pasado, ahora soy mujer, y ahora voy a hablar de feminismo, un montón, voy a
654640	662180	bajar línea, como mina que soy, y espero sororidad, eh, espero sororidad, loco, porque no puedes
662180	667880	servirte la regla nada más cuando no te gusta bien porque tienes la voz grave, quiero un panel de
667880	675080	debate de sororo, y quiero ver cómo nos estamos sintiendo las mujeres últimamente, loco, porque
675080	680480	nos pasan cosas, y ¿sabés qué? ¿Esto llegó para quedarse?
683440	686960	Ay, áudio, pásame un áudio, ojalá que sea una compañera de lucha.
687260	693860	Fuerza, hermana, la Argentina se hace grande entre todos y todas, especialmente las peladas de pene grande.
695420	703500	Hermana, nos tenemos, te mando un abrazo grande como pelada de gran pene, big dick girl, y espero
704280	711520	que sigas muy fuerte en tu lucha, y no dejes que las anti sororas nos ataquen, eh, no dejemos que las
711520	715460	anti sororas nos ataquen, y si acabó eso de que no, acá este habla de feminismo, este no habla de
715460	721080	feminismo, si le van a pedir a un chabón que habla de lo que básicamente le gustó toda la vida, que
721080	726520	deje de ser quien es, y que se metan los verdaderos temas, bueno, vamos a hablar de, voy a ser Judith
726520	739860	Butler ahora, voy a, Judith Butler voy a ser, la teoría de King Kong, ¿sí? Voy a hablar de todo,
740860	744900	girl, gracias, agoberos y agoberas, pásame un áudio más.
746020	752540	Obrador, soy Lau, yo como persona nobinaria que te escucha, también puedo ofrecerte la
752540	760480	nobinaria si te interesa, la credencial, y también puede ser todo, puede sumar nuevas
760480	765780	identidades. Cuando son nobinarios es como que ya ganaste, o sea, porque nadie, ¿no? ¿puedo decirlo,
765780	774440	soy mujer? ¡Aaaaaah! ¡Te barré, hijo de puta! ¿Qué pasó, ya estabas empezando a decir, mmm, un poco
776060	784000	mansplaining, womansplaining, concha de tu madre, binariasplaining. Nobinaria, esto lo puedo decir
784000	788940	porque yo hablo de feminismo, ahora soy una voz legitimada para bajar línea feminista, porque
788940	794780	ustedes quisieron, ¿eh? O sea, solo gracias a ustedes esto pasa, y un poco lo que nos pasa a los
