start	end	text
0	4960	y cortes de ruta en todo el país, con epicentro en el Ministerio de Trabajo.
7980	14740	La Rioja registró ingresos por 400 millones de pesos, producto del turismo de este fin de Semana Santo.
15200	20300	Gustavo Luna, ministro de Turismo y Culturas de la provincia, hizo un balance positivo del movimiento
20300	25840	turístico en Semana Santa, al tiempo que destacó que el impacto económico de la Rioja fue de 400
28000	33920	Nosotros estimamos que más de 300 mil personas se movilizaron. Fíjate que solamente con la
33920	40260	actividad religiosa del señor de la Peña, hubo casi 70 mil personas. Por ahí no son tan grandes
40260	46640	las celebraciones en el interior, pero se cuentan de a miles los turistas que decidieron viajar
46640	51260	hacia los departamentos del interior de la provincia. Fíjate que en Nación, la chica no
51260	56580	se sentó. Fue Nación también la que destacó lo que se ha generado aquí en materia turística.
56800	62240	En comparativo con el año anterior ha crecido casi un círculo por ciento para esta misma fecha.
62560	68620	Eso también ha sucedido en la Rioja. El impacto económico fue más que importante. Hacemos una
68620	73920	estimación de más de 400 millones de pesos. Carlos Vega, Rade Nacional, la Rioja.
75760	81080	A las 8 de la noche, 4 minutos en Río Cuarto, Córdoba. 25 grados la temperatura,
81080	87320	la humedad 47 por ciento. Aquí en Capital Federal y alrededor es 22 grados la temperatura,
87400	89560	la humedad 77 por ciento.
112040	116840	El Plan de la Mariposa por primera vez en el Estadio Luna Park.
118560	124660	Sábado 3 de junio. Anticipadas en TicketPortal.com.ar o en la boletería del estadio.
124700	129980	Producen Sabia y 300. El Plan en el Luna Park.
132840	135520	Mañana. Mañana siempre. Mañana siempre.
136140	139640	Es mejor. Deseo. Goce.
141080	142200	En movimiento.
161400	168220	En el caos.
168260	168480	Baila.
170380	171060	Habitar.
176240	177840	y bailar.
178300	180300	Y bailar.
181160	181300	Y bailar.
181300	182220	Nacional Rock.
183600	185700	Lunes a jueves de 21 a 22.
186020	186760	Escucha.
188300	189640	La Casa Rodante.
190000	190760	Tranquila Tom.
191140	192300	Nacional Rock.
192960	194620	La Casa Rodante.
195280	195580	YouTube.
195740	197820	Arroba Nacional Rock 937.
198300	198700	Twitter.
198980	200880	Arroba Nacional Rock 937.
201060	201060	
203240	203960	Nacional Rock.
210200	211800	La pelota lo...
211800	214220	La pelota lo se marcha.
214920	215640	¡Carajo, mierda!
216480	217200	¡Carajo, mierda!
217580	221560	Se van a remontar a la distratófera.
221820	223300	Usted tiene que arrepentirse de lo que dijo.
223320	224080	No, no me voy a arrepentir.
224100	226100	Usted sí tiene que arrepentir porque yo no hice nada de eso.
226180	227880	¡Ay, si querés llorar, llora papi, papi!
227980	228300	¡Por favor!
228540	228580	¡No!
229480	230260	¡Ay, a mi!
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
231040	231040	
232180	234500	No soy diputable, hermano.
234680	236300	Solamente que tenga temor a Dios.
237120	238940	Y a mí en todo caso también un poquito.
239140	240680	¡Pará, pará, pará, pará!
241180	243180	Con 15 pesos me hago alto guiso.
261060	262060	¡Vamos, vamos!
304640	306040	¡Vamos, vamos!
327380	331860	¡Cómo andan, queridísimos compatriotas!
332420	333860	¡Cómo están!
334880	336780	¡Cómo están, queridos compatriotas!
336800	338700	¡Cómo están agoveros y agoveras!
339000	340600	¡Cómo andan!
341380	344660	Yo pasé una semana de mierda.
344800	346920	Yo pasé una semana pésima.
347520	349960	¡Una semana de mierda!
350880	353120	¡Una semana de mierda!
354020	357440	Habiendo dicho eso, no me queda más que abrir
357440	360020	con otro triunfo histórico del agoverismo,
360240	360960	estimadísimos compatriotas.
365880	369720	Quiero agradecer a ustedes primero y principal,
369840	370620	a la gente que me banca,
370660	372620	a los mensajes lindos que me mandaron todo este último tiempo.
373720	376980	Vamos, vamos, o sea, no voy a ignorar lo que está pasando.
376980	383320	Hemos recibido unas disculpas públicas de Florencia Freijo,
384120	389600	las cuales acepté inmediatamente porque nunca pedí nada.
390200	392380	Nunca pedí absolutamente nada.
392880	395420	Entonces llegaron, llegaron finalmente las disculpas
395420	399240	y yo soy una persona, no soy rencoroso,
