start	end	text
3960	11260	¿Cómo andan? ¡Repapaelds! ¿Cómo andan? ¡Papaeldos! ¿Cómo andan? ¡Papaeldos es
11260	17580	Mircolapios! ¿Cómo andan? ¡Papaordiceps! ¿Cómo están? ¿Cómo están acá en Radio
17580	24180	Nacional, en el poderoso Estado Nacional que resiste? ¿Cómo están, hijos de puta? ¿Cómo
24180	29300	están compatriotas? ¿Cómo están compañeras sororas? ¿Cómo están amigas? ¿Cómo están
29300	38120	oyentes de maga? ¿Cómo están agoveros y agoveras? ¿Cómo están repapaeldos? ¿Cómo andan? Yo estoy
38120	46020	bien, estoy bien, me di cuenta, creo que es el primer lunes en como un mes que no caigo
46020	51160	al borde de un brote psicótico, al borde del colapso, entonces me siento holgado, siento,
51160	55880	o sea, me sobra, me sobra muchísimo, puedo, tac, tac, tac, tac, juego de memoria, 11,
55980	62640	3, 9, 3, 9, 8, 8, 8, de lo que quieran, de lo que quieran, pa, pa, pa, pa, pa, pa, pa,
62640	68900	pa, pasamos, me tiran un tema bajo, ta, defino el tema, aprendiendo la tabla del 2, me dicen,
70100	78460	¿vamos a dejar de rompernos las pelotas o no nos vamos a dejar de romper las pelotas? Yo
78460	83580	soy economista ahora, eso también quiero aclararlo, ustedes saben, yo no sé mucho de
83580	90020	economía y siempre le he tenido como mucho respeto a la disciplina hasta el último método,
91300	97260	yo ahora me doy cuenta que si vos querés comer fideos con tuco, necesitas los tucos y necesitas
97260	103840	los fideos, y si no tenés ni fideos ni tuco, no podés hacer ninguna, vamos, vamos, vamos a dejar
103840	109560	de rompernos las pelotas o no vamos a dejar de rompernos las pelotas, ¿eh? Hay que dejar de
109560	119320	romperse las pelotas, eso es lo que pasa acá, hay que dejar de romperse las pelotas, hay que
119320	125420	dejar de romperse, de una vez pasame audio, sí, sí, sí, pasame audio, pero que no rompa las pelotas, ¿eh?
126180	130400	No, no, querés hablar de eso, querés hablar de eso, voy a hacer la que me hacía Melconian,
130400	134280	no sé cómo lo vieron en el método, no sé si lo disfrutaron, yo lo disfruté muchísimo,
134980	140740	lo disfruté muchísimo porque es un personaje que me hace reír mucho y me parece completamente
141580	147720	surreal, o sea, tengo, cuando uno está en el método ve los recursos muy de cerca y en el método
147720	152880	se ve todo porque en el método se exponen las almas y hay algo, es un guionazo, el guion es
152880	160380	excelente, es, el guion es, Carlos, al término del mercado laboral tenemos una de las tasas de
160380	165060	los últimos años y salario más bajo, ¿cómo crees que se puede seguir distribuido? ¡Ah!
165760	173900	¡Ah, querés hablar de eso! ¡Ah, vamos a hablar de eso! ¡No, no, no, no! ¡Si quieres hablar de eso, vamos a hablar de eso, eh!
174300	180020	¡No, vamos a hablar de eso, si quieres hablar de eso! ¡No, no, no, no! ¡Vamos a hablar de eso, si quieres hablar de eso, eh!
181040	189180	Sí, quiero hablar exactamente de eso, es, es, ¡Ah, querés hablar de eso! ¡Pero vamos a hablar de eso con la tabla el 2 arriba de la mesa, eh!
190100	198300	Ok, vamos a, de una me parece, ¿2 por 2 cuánto es? ¡Oh, no, bueno, es 4! ¡Ah, ah, ah!
198980	202680	¡Ah, hay que dejar de romperse las pelotas, loco! ¡Hay que dejar de romperse las pelotas!
203160	209840	Yo lo que, Metáforas Gate pone acá, Julián Páez, yo lo que, no me rompan las pelotas,
209920	217120	dice mi jerochín, así que 11, 39, 39, 88, 88, hablamos de lo que quieran, eh, hablamos de lo que quieran,
217120	221020	pero no me rompan las pelotas, pasame audio, pasame audio.
221280	228460	Tomás, ¿cómo andas? Gran método con Melconián, realmente, eh, que quería decir dos cosas, una,
228660	234080	que me parece que se logró el objetivo, se mostró el verdadero, la verdadera esencia de Melconián,
234260	240440	que claramente es el objetivo de cada método, y, y también te quería decir que soy hincha independiente,
240560	246140	y vi el partido con River, y vi cuando Barco mete el gol y pidió perdón,
246140	248440	y no me molestó.
249880	253800	Creo que lo hizo con cariño real, es más, se largó a llorar después.
254140	256160	Quería saber qué opinabas de eso, un abrazo y...
256160	258380	¡No me rompan las pelotas!
258380	262320	Tiene razón Melconián, ¡hay que dejar de romperse las pelotas!
262600	266620	No me rompan las pelotas, no me rompan las pelotas, con los gestos de respeto.
266700	270660	El otro día me etiquetó uno de ustedes, un agovero, con el testimonio de One Choppe,
270660	273800	que sale a hablar ahora, del tiki tiki.
274000	276860	Correr corre cualquiera, dice One Choppe.
276920	280760	Dice, es un... ahora ahí es un filósofo del fútbol.
280980	284400	Correr corre, sigue pidiendo, sigue, sigue teniendo respect todavía.
284620	289680	One Choppe todavía sube posteos, para One Choppe todavía sigue subiendo tipo historias,
289880	292620	del mismo gol que le hace a Boca, con respect.
293840	298380	Tipo, Boca, from the bottom of my heart, with a lot of respect.
299160	301880	Respect, correr corre cualquiera, respect.
302140	302560	Respect.
303180	306300	Equilibrio general, hubo sexo en el Monumental, no me hagan hablar...
306300	307560	Bueno, está bien, está bien, ¿saben qué?
308100	309840	Se está adelantando, ¿tienen que lo diga?
309980	310940	Se está adelantando el fútbol.
311200	312260	Vamos a hablar un poquito de fútbol.
312460	312680	¡Vamos a hablar!
312680	312980	¡Uy!
314020	314440	¡Jungleman!
315820	316240	¡Jungleman!
316320	316660	¡Uy!
316700	318500	Y la técnica, está todo...
318500	319100	¡Jungleman!
319100	321620	¡La velocidad con la que metiste fútbol!
322380	324820	Che, estamos muy bien, ¿eh?
327320	331700	Las transiciones, la velocidad con la que metiste fútbol.
333560	334060	Impresionante.
334440	335880	No, si quieren hablábamos un poco.
336180	338800	Vi mucho deporte todo el fin de semana.
338880	343560	Hice una curaduría psicológica, dejé el celular, no vi el celular en todo el puto
343560	347420	fin de semana y vi fútbol, loco.
348480	349440	Fútbol, loco.
350480	352080	Vi fútbol, hermano.
352080	355820	Me pasé todo el fin de semana viendo deporte, todo tipo de deporte.
356120	358080	Podemos hablar un poco de basketball también.
359400	364240	Vi, cometí nuevamente el error, el error de ver el partido de River.
365120	365960	El error.
367080	367860	¡Qué asco!
370000	371620	¡Qué asco, hermano!
372520	373520	¿Qué es eso?
374120	381580	O sea, hablando en serio, ya River entró en una fase medio psicótica de paladar negro
382220	383600	Tengo mucho para decir de esto.
383660	385780	Se me abrió un auricular, creo que perdí un auricular.
388080	389980	Tengo algo para decir de esto, ya lo arreglo.
390880	392080	No, no, tranqui Maxi, por favor.
392540	395380	Soy un profesional de la radio, me extraña.
396540	398020	Ay, muchachos, si quieren que les cuente.
401320	403100	Yo soy un profesional, loco.
404720	407000	River, cometí el error de ver el partido de River.
407740	413400	Y es verdaderamente, es verdaderamente, es tan...
413400	416020	Mira, acá lo dice Uly Seg, tiene acá una seguridad gallina.
416400	417560	Es tan River que empalaga.
418040	420360	Tengo varias cosas para decir, tengo varias cosas para decir.
420680	423000	Porque yo a los gallinas espiritualmente los conozco muy bien.
423320	427900	Y ustedes saben que me caracterizo por mi imparcialidad, futbolística y metafísica.
427940	430100	Yo me debo a la verdad en la ciencia del deporte.
430720	433860	Lo primero que tengo para decir es que el verdadero hincha de River.
434480	438360	El verdadero, no algunos de ustedes que son cepas intermedias.
